#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1871716,60338003,HWB02_gp002,HWB02_gp002,HWB02_000002,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210605,-
1871716,60338186,HWB02_gp185,HWB02_gp185,HWB02_000185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338187,HWB02_gp186,HWB02_gp186,HWB02_000186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338188,HWB02_gp187,HWB02_gp187,HWB02_000187,-,-,-,endoribonuclease Dicer-like,protein-coding,-,-,-,endoribonuclease Dicer-like,20201130,-
1871716,60338189,HWB02_gp188,HWB02_gp188,HWB02_000188,-,-,-,Modular polyketide synthase,protein-coding,-,-,-,Modular polyketide synthase,20201130,-
1871716,60338190,HWB02_gp189,HWB02_gp189,HWB02_000189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338191,HWB02_gp190,HWB02_gp190,HWB02_000190,-,-,-,HECT E3 ubiquitin ligase,protein-coding,-,-,-,HECT E3 ubiquitin ligase,20201130,-
1871716,60338192,HWB02_gp191,HWB02_gp191,HWB02_000191,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201130,-
1871716,60338193,HWB02_gp192,HWB02_gp192,HWB02_000192,-,-,-,phosphatase,protein-coding,-,-,-,phosphatase,20210212,-
1871716,60338194,HWB02_gp193,HWB02_gp193,HWB02_000193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1871716,60338195,HWB02_gp194,HWB02_gp194,HWB02_000194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338196,HWB02_gp195,HWB02_gp195,HWB02_000195,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210417,-
1871716,60338197,HWB02_gp196,HWB02_gp196,HWB02_000196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338198,HWB02_gp197,HWB02_gp197,HWB02_000197,-,-,-,integrase,protein-coding,-,-,-,integrase,20201130,-
1871716,60338199,HWB02_gp198,HWB02_gp198,HWB02_000198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
1871716,60338200,HWB02_gp199,HWB02_gp199,HWB02_000199,-,-,-,AP2 domain-containing protein,protein-coding,-,-,-,AP2 domain-containing protein,20201130,-
1871716,60338201,HWB02_gp200,HWB02_gp200,HWB02_000200,-,-,-,cell wall hydrolyse,protein-coding,-,-,-,cell wall hydrolyse,20210605,-
1871716,60338202,HWB02_gp201,HWB02_gp201,HWB02_000201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338203,HWB02_gp202,HWB02_gp202,HWB02_000202,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210605,-
1871716,60338204,HWB02_gp203,HWB02_gp203,HWB02_000203,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20201130,-
1871716,60338205,HWB02_gp204,HWB02_gp204,HWB02_000204,-,-,-,AP2 domain-containing protein,protein-coding,-,-,-,AP2 domain-containing protein,20201130,-
1871716,60338206,HWB02_gp205,HWB02_gp205,HWB02_000205,-,-,-,helicase,protein-coding,-,-,-,helicase,20210605,-
1871716,60338207,HWB02_gp206,HWB02_gp206,HWB02_000206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338208,HWB02_gp207,HWB02_gp207,HWB02_000207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338209,HWB02_gp208,HWB02_gp208,HWB02_000208,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201130,-
1871716,60338210,HWB02_gp209,HWB02_gp209,HWB02_000209,-,-,-,ead/Ea22-like family protein,protein-coding,-,-,-,ead/Ea22-like family protein,20201130,-
1871716,60338211,HWB02_gp210,HWB02_gp210,HWB02_000210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338212,HWB02_gp211,HWB02_gp211,HWB02_000211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338213,HWB02_gp212,HWB02_gp212,HWB02_000212,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201130,-
1871716,60338214,HWB02_gp213,HWB02_gp213,HWB02_000213,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210605,-
1871716,60338215,HWB02_gp214,HWB02_gp214,HWB02_000214,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210605,-
1871716,60338216,HWB02_gp001,HWB02_gp001,HWB02_000001,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
1871716,60350491,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
