#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1719140,26522962,KB57_002,KB57_002,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1719140,26523180,KB57_214,KB57_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523181,KB57_215,KB57_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523182,KB57_216,KB57_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523183,KB57_217,KB57_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523184,KB57_218,KB57_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523185,KB57_219,KB57_219,-,-,-,-,putative metallopeptidase domain protein,protein-coding,-,-,-,putative metallopeptidase domain protein,20200910,-
1719140,26523186,KB57_220,KB57_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523187,KB57_221,KB57_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523188,KB57_222,KB57_222,-,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200910,-
1719140,26523189,KB57_223,KB57_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523190,KB57_224,KB57_224,-,-,-,-,putative metal dependent phosphohydrolase,protein-coding,-,-,-,putative metal dependent phosphohydrolase,20210212,-
1719140,26523191,KB57_225,KB57_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523192,KB57_226,KB57_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523193,KB57_227,KB57_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523194,KB57_228,KB57_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523195,KB57_229,KB57_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523196,KB57_230,KB57_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523197,KB57_231,KB57_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523198,KB57_232,KB57_232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523199,KB57_233,KB57_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523200,KB57_234,KB57_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523201,KB57_235,KB57_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523202,KB57_236,KB57_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523203,KB57_237,KB57_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523204,KB57_238,KB57_238,-,-,-,-,putative phosphatase,protein-coding,-,-,-,putative phosphatase,20210212,-
1719140,26523205,KB57_239,KB57_239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523206,KB57_240,KB57_240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523207,KB57_241,KB57_241,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210417,-
1719140,26523208,KB57_242,KB57_242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523209,KB57_243,KB57_243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523210,KB57_244,KB57_244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523211,KB57_245,KB57_245,-,-,-,-,putative cell wall hydrolyse,protein-coding,-,-,-,putative cell wall hydrolyse,20210212,-
1719140,26523212,KB57_004,KB57_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523213,KB57_005,KB57_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523214,KB57_006,KB57_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523215,KB57_007,KB57_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523216,KB57_073,KB57_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26523217,KB57_077,KB57_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523218,KB57_078,KB57_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523219,KB57_079,KB57_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523220,KB57_t001,KB57_t001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523221,KB57_091,KB57_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523222,KB57_001,KB57_001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20210417,-
1719140,26591649,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage vB_KpnM_KB57; Klebsiella bacteriophage vB_KpnM_KB57).,other,-,-,-,-,20200513,-
