#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
546807,6921190,232,SCOTTMCG_232,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200909,-
546807,6921416,202,SCOTTMCG_202,-,-,-,-,DNA pol III alpha,protein-coding,-,-,-,DNA pol III alpha,20200909,-
546807,6921417,203,SCOTTMCG_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921418,204,SCOTTMCG_204,-,-,-,-,release factor 1,protein-coding,-,-,-,release factor 1,20210417,-
546807,6921419,205,SCOTTMCG_205,-,-,-,-,RecA-like recombinase,protein-coding,-,-,-,RecA-like recombinase,20210417,-
546807,6921420,206,SCOTTMCG_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921421,207,SCOTTMCG_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921422,208,SCOTTMCG_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
546807,6921423,209,SCOTTMCG_209,-,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210212,-
546807,6921424,210,SCOTTMCG_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921425,211,SCOTTMCG_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
546807,6921426,212,SCOTTMCG_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921427,213,SCOTTMCG_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921428,214,SCOTTMCG_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921429,215,SCOTTMCG_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921430,216,SCOTTMCG_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921431,217,SCOTTMCG_217,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921432,218,SCOTTMCG_218,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921433,219,SCOTTMCG_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
546807,6921434,1,SCOTTMCG_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921435,220,SCOTTMCG_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921436,221,SCOTTMCG_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921437,222,SCOTTMCG_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921438,223,SCOTTMCG_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921439,224,SCOTTMCG_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921440,225,SCOTTMCG_225,-,-,-,-,Ro-like RNA binding protein,protein-coding,-,-,-,Ro-like RNA binding protein,20210417,-
546807,6921441,226,SCOTTMCG_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921442,227,SCOTTMCG_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921443,228,SCOTTMCG_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921444,229,SCOTTMCG_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921445,230,SCOTTMCG_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921446,231,SCOTTMCG_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6926327,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage ScottMcG).,other,-,-,-,-,20200513,-
