#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4909,32084900,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene ('Candida glycerinogenes'; Candida acidothermophilum; Candida krusei; Issatchenkia orientalis; Saccharomyces krusei).,other,-,-,-,-,20210109,-
4909,40382662,C5L36_0B01610,C5L36_0B01610,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382663,C5L36_0B01620,C5L36_0B01620,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382664,C5L36_0B01630,C5L36_0B01630,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382665,C5L36_0B01640,C5L36_0B01640,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382666,C5L36_0B01650,C5L36_0B01650,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382667,C5L36_0B01660,C5L36_0B01660,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382668,C5L36_0B01670,C5L36_0B01670,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382669,C5L36_0B01680,C5L36_0B01680,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382670,C5L36_0B01690,C5L36_0B01690,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382671,C5L36_0B01700,C5L36_0B01700,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382672,C5L36_0B01710,C5L36_0B01710,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382673,C5L36_0B01720,C5L36_0B01720,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382674,C5L36_0B01730,C5L36_0B01730,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382675,C5L36_0B01740,C5L36_0B01740,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382676,C5L36_0B01750,C5L36_0B01750,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382677,C5L36_0B01760,C5L36_0B01760,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382678,C5L36_0B01770,C5L36_0B01770,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382679,C5L36_0B01780,C5L36_0B01780,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382680,C5L36_0B01790,C5L36_0B01790,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382681,C5L36_0B01800,C5L36_0B01800,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382682,C5L36_0B01810,C5L36_0B01810,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382683,C5L36_0B01820,C5L36_0B01820,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382684,C5L36_0B01830,C5L36_0B01830,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382685,C5L36_0B01840,C5L36_0B01840,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382686,C5L36_0B01850,C5L36_0B01850,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382687,C5L36_0B01860,C5L36_0B01860,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382688,C5L36_0B01870,C5L36_0B01870,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382689,C5L36_0B01880,C5L36_0B01880,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382690,C5L36_0B01890,C5L36_0B01890,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382691,C5L36_0B01900,C5L36_0B01900,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382692,C5L36_0B01910,C5L36_0B01910,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382693,C5L36_0B01920,C5L36_0B01920,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382694,C5L36_0B01930,C5L36_0B01930,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382695,C5L36_0B01940,C5L36_0B01940,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382696,C5L36_0B01950,C5L36_0B01950,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382697,C5L36_0B01960,C5L36_0B01960,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382698,C5L36_0B01970,C5L36_0B01970,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382699,C5L36_0B01980,C5L36_0B01980,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382700,C5L36_0B01990,C5L36_0B01990,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382701,C5L36_0B02000,C5L36_0B02000,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382702,C5L36_0B02010,C5L36_0B02010,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382703,C5L36_0B02020,C5L36_0B02020,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382704,C5L36_0B02030,C5L36_0B02030,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382705,C5L36_0B02040,C5L36_0B02040,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382706,C5L36_0B02050,C5L36_0B02050,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382707,C5L36_0B02060,C5L36_0B02060,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382708,C5L36_0B02070,C5L36_0B02070,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382709,C5L36_0B02080,C5L36_0B02080,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382710,C5L36_0B02090,C5L36_0B02090,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382711,C5L36_0B02100,C5L36_0B02100,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382712,C5L36_0B02110,C5L36_0B02110,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382713,C5L36_0B02120,C5L36_0B02120,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382714,C5L36_0B02130,C5L36_0B02130,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382715,C5L36_0B02140,C5L36_0B02140,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382716,C5L36_0B02150,C5L36_0B02150,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382717,C5L36_0B02160,C5L36_0B02160,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382718,C5L36_0B02170,C5L36_0B02170,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382719,C5L36_0B02180,C5L36_0B02180,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382720,C5L36_0B02190,C5L36_0B02190,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382721,C5L36_0B02200,C5L36_0B02200,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382722,C5L36_0B02210,C5L36_0B02210,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382723,C5L36_0B02220,C5L36_0B02220,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382724,C5L36_0B02230,C5L36_0B02230,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382725,C5L36_0B02240,C5L36_0B02240,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382726,C5L36_0B02250,C5L36_0B02250,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382727,C5L36_0B02260,C5L36_0B02260,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382728,C5L36_0B02270,C5L36_0B02270,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382729,C5L36_0B02275,C5L36_0B02275,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382730,C5L36_0B02277,C5L36_0B02277,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382731,C5L36_0B02280,C5L36_0B02280,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382732,C5L36_0B02290,C5L36_0B02290,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382733,C5L36_0B02300,C5L36_0B02300,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382734,C5L36_0B02310,C5L36_0B02310,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382735,C5L36_0B02320,C5L36_0B02320,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382736,C5L36_0B02330,C5L36_0B02330,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382737,C5L36_0B02340,C5L36_0B02340,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382738,C5L36_0B02350,C5L36_0B02350,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382739,C5L36_0B02360,C5L36_0B02360,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382740,C5L36_0B02370,C5L36_0B02370,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382741,C5L36_0B02380,C5L36_0B02380,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382742,C5L36_0B02390,C5L36_0B02390,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382743,C5L36_0B02400,C5L36_0B02400,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382744,C5L36_0B02410,C5L36_0B02410,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382745,C5L36_0B02420,C5L36_0B02420,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382746,C5L36_0B02425,C5L36_0B02425,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382747,C5L36_0B02430,C5L36_0B02430,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382748,C5L36_0B02433,C5L36_0B02433,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382749,C5L36_0B02435,C5L36_0B02435,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382750,C5L36_0B02440,C5L36_0B02440,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382751,C5L36_0B02450,C5L36_0B02450,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382752,C5L36_0B02460,C5L36_0B02460,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382753,C5L36_0B02470,C5L36_0B02470,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382754,C5L36_0B02480,C5L36_0B02480,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382755,C5L36_0B02490,C5L36_0B02490,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382756,C5L36_0B02500,C5L36_0B02500,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382757,C5L36_0B02510,C5L36_0B02510,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382758,C5L36_0B02520,C5L36_0B02520,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382759,C5L36_0B02530,C5L36_0B02530,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382760,C5L36_0B02540,C5L36_0B02540,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382761,C5L36_0B02550,C5L36_0B02550,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382762,C5L36_0B02560,C5L36_0B02560,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382763,C5L36_0B02570,C5L36_0B02570,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382764,C5L36_0B02580,C5L36_0B02580,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382765,C5L36_0B02590,C5L36_0B02590,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382766,C5L36_0B02600,C5L36_0B02600,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382767,C5L36_0B02610,C5L36_0B02610,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382768,C5L36_0B02620,C5L36_0B02620,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382769,C5L36_0B02630,C5L36_0B02630,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382770,C5L36_0B02640,C5L36_0B02640,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382771,C5L36_0B02650,C5L36_0B02650,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382772,C5L36_0B02660,C5L36_0B02660,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382773,C5L36_0B02670,C5L36_0B02670,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382774,C5L36_0B02680,C5L36_0B02680,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382775,C5L36_0B02690,C5L36_0B02690,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382776,C5L36_0B02700,C5L36_0B02700,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382777,C5L36_0B02710,C5L36_0B02710,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382778,C5L36_0B02720,C5L36_0B02720,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382779,C5L36_0B02730,C5L36_0B02730,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382780,C5L36_0B02740,C5L36_0B02740,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382781,C5L36_0B02750,C5L36_0B02750,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382782,C5L36_0B02760,C5L36_0B02760,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382783,C5L36_0B02770,C5L36_0B02770,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382784,C5L36_0B02780,C5L36_0B02780,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382785,C5L36_0B02785,C5L36_0B02785,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382786,C5L36_0B02790,C5L36_0B02790,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382787,C5L36_0B02800,C5L36_0B02800,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382788,C5L36_0B02810,C5L36_0B02810,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382789,C5L36_0B02820,C5L36_0B02820,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382790,C5L36_0B02830,C5L36_0B02830,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382791,C5L36_0B02840,C5L36_0B02840,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382792,C5L36_0B02850,C5L36_0B02850,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382793,C5L36_0B02860,C5L36_0B02860,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382794,C5L36_0B02865,C5L36_0B02865,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382795,C5L36_0B02870,C5L36_0B02870,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382796,C5L36_0B02880,C5L36_0B02880,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382797,C5L36_0B02890,C5L36_0B02890,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382798,C5L36_0B02900,C5L36_0B02900,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382799,C5L36_0B02910,C5L36_0B02910,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382800,C5L36_0B02920,C5L36_0B02920,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382801,C5L36_0B02930,C5L36_0B02930,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382802,C5L36_0B02940,C5L36_0B02940,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382803,C5L36_0B02945,C5L36_0B02945,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382804,C5L36_0B02950,C5L36_0B02950,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382805,C5L36_0B02960,C5L36_0B02960,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382806,C5L36_0B02970,C5L36_0B02970,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382807,C5L36_0B02980,C5L36_0B02980,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382808,C5L36_0B02990,C5L36_0B02990,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382809,C5L36_0B03000,C5L36_0B03000,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382810,C5L36_0B03010,C5L36_0B03010,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382811,C5L36_0B03020,C5L36_0B03020,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382812,C5L36_0B03025,C5L36_0B03025,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382813,C5L36_0B03030,C5L36_0B03030,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382814,C5L36_0B03040,C5L36_0B03040,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382815,C5L36_0B03050,C5L36_0B03050,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382816,C5L36_0B03055,C5L36_0B03055,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382817,C5L36_0B03060,C5L36_0B03060,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382818,C5L36_0B03070,C5L36_0B03070,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382819,C5L36_0B03080,C5L36_0B03080,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382820,C5L36_0B03090,C5L36_0B03090,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382821,C5L36_0B03100,C5L36_0B03100,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382822,C5L36_0B03110,C5L36_0B03110,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382823,C5L36_0B03120,C5L36_0B03120,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382824,C5L36_0B03125,C5L36_0B03125,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382825,C5L36_0B03130,C5L36_0B03130,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382826,C5L36_0B03140,C5L36_0B03140,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382827,C5L36_0B03150,C5L36_0B03150,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382828,C5L36_0B03160,C5L36_0B03160,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382829,C5L36_0B03170,C5L36_0B03170,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382830,C5L36_0B03180,C5L36_0B03180,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382831,C5L36_0B03190,C5L36_0B03190,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382832,C5L36_0B03200,C5L36_0B03200,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382833,C5L36_0B03205,C5L36_0B03205,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382834,C5L36_0B03210,C5L36_0B03210,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382835,C5L36_0B03220,C5L36_0B03220,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382836,C5L36_0B03230,C5L36_0B03230,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382837,C5L36_0B03240,C5L36_0B03240,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382838,C5L36_0B03245,C5L36_0B03245,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382839,C5L36_0B03250,C5L36_0B03250,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382840,C5L36_0B03260,C5L36_0B03260,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382841,C5L36_0B03270,C5L36_0B03270,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382842,C5L36_0B03280,C5L36_0B03280,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40382843,C5L36_0B03290,C5L36_0B03290,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382844,C5L36_0B03300,C5L36_0B03300,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382845,C5L36_0B03310,C5L36_0B03310,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382846,C5L36_0B03320,C5L36_0B03320,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382847,C5L36_0B03330,C5L36_0B03330,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40382848,C5L36_0B03340,C5L36_0B03340,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
4909,40382849,C5L36_0B03350,C5L36_0B03350,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382850,C5L36_0B03360,C5L36_0B03360,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382851,C5L36_0B03370,C5L36_0B03370,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382852,C5L36_0B03380,C5L36_0B03380,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382853,C5L36_0B03390,C5L36_0B03390,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382854,C5L36_0B03400,C5L36_0B03400,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40382855,C5L36_0B03420,C5L36_0B03420,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382856,C5L36_0B03430,C5L36_0B03430,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382857,C5L36_0B03440,C5L36_0B03440,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40382858,C5L36_0B03450,C5L36_0B03450,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382859,C5L36_0B03460,C5L36_0B03460,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40382860,C5L36_0B03470,C5L36_0B03470,-,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
