#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
399742,5130247,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20170504,-
399742,32443308,ENT638_RS15005,ENT638_RS15005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443317,ENT638_RS11560,ENT638_RS11560,Ent638_2246,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443333,ENT638_RS11635,ENT638_RS11635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443352,ENT638_RS14920,ENT638_RS14920,Ent638_2895,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443371,ENT638_RS22890,ENT638_RS22890,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443378,ENT638_RS23485,ENT638_RS23485,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443391,ENT638_RS23225,ENT638_RS23225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443392,ENT638_RS03845,ENT638_RS03845,Ent638_R0024,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443428,ENT638_RS00955,ENT638_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443434,ENT638_RS23525,ENT638_RS23525,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443439,ENT638_RS04150,ENT638_RS04150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443441,ENT638_RS23215,ENT638_RS23215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443468,ENT638_RS05445,ENT638_RS05445,Ent638_1038,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443470,ENT638_RS22565,ENT638_RS22565,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443479,ENT638_RS04315,ENT638_RS04315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443493,ENT638_RS09245,ENT638_RS09245,Ent638_R0046,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443497,ENT638_RS09240,ENT638_RS09240,Ent638_R0045,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443537,ENT638_RS11440,ENT638_RS11440,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443541,ENT638_RS13320,ENT638_RS13320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443549,ENT638_RS05195,ENT638_RS05195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443588,ENT638_RS05250,ENT638_RS05250,Ent638_1008,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443595,ENT638_RS00325,ENT638_RS00325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
399742,32443626,ENT638_RS09165,ENT638_RS09165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443627,ENT638_RS22320,ENT638_RS22320,Ent638_3387,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443655,ENT638_RS17090,ENT638_RS17090,Ent638_R0078,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443658,ENT638_RS18320,ENT638_RS18320,Ent638_3555,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200926,-
399742,32443666,ENT638_RS22980,ENT638_RS22980,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443667,ENT638_RS03895,ENT638_RS03895,Ent638_R0025,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443670,ENT638_RS00295,ENT638_RS00295,Ent638_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443698,ENT638_RS02430,ENT638_RS02430,Ent638_R0015,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443733,ENT638_RS13455,ENT638_RS13455,Ent638_2605,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443742,ENT638_RS04000,ENT638_RS04000,Ent638_R0026,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443761,ENT638_RS11550,ENT638_RS11550,Ent638_2244,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443782,ENT638_RS22180,ENT638_RS22180,Ent638_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
399742,32443791,ENT638_RS15935,ENT638_RS15935,Ent638_3086,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32443808,ENT638_RS06845,ENT638_RS06845,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443809,ENT638_RS23305,ENT638_RS23305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200919,-
399742,32443845,ENT638_RS08090,ENT638_RS08090,Ent638_1552,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443866,ENT638_RS22910,ENT638_RS22910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443880,ENT638_RS01845,ENT638_RS01845,Ent638_R0012,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443891,ENT638_RS11830,ENT638_RS11830,Ent638_2292,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443911,ENT638_RS11470,ENT638_RS11470,Ent638_2227,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443921,ENT638_RS22615,ENT638_RS22615,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443930,ENT638_RS17995,ENT638_RS17995,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443936,ENT638_RS22300,ENT638_RS22300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443953,ENT638_RS20055,ENT638_RS20055,Ent638_3895,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443957,ENT638_RS22270,ENT638_RS22270,Ent638_1962,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443975,ENT638_RS06785,ENT638_RS06785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32443986,ENT638_RS18505,ENT638_RS18505,Ent638_3592,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443992,ENT638_RS02530,ENT638_RS02530,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444002,ENT638_RS09065,ENT638_RS09065,Ent638_1749,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444018,ENT638_RS08070,ENT638_RS08070,Ent638_R0044,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444020,ENT638_RS04320,ENT638_RS04320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444076,ENT638_RS22460,ENT638_RS22460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444109,ENT638_RS13315,ENT638_RS13315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
399742,32444135,ENT638_RS22470,ENT638_RS22470,Ent638_0473,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444202,ENT638_RS00055,ENT638_RS00055,Ent638_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444239,ENT638_RS23350,ENT638_RS23350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444248,ENT638_RS05380,ENT638_RS05380,Ent638_1026,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444275,ENT638_RS00310,ENT638_RS00310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444301,ENT638_RS22710,ENT638_RS22710,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444313,ENT638_RS02770,ENT638_RS02770,Ent638_R0016,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444318,ENT638_RS15115,ENT638_RS15115,Ent638_R0059,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444342,ENT638_RS22825,ENT638_RS22825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444345,ENT638_RS16415,ENT638_RS16415,Ent638_3175,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180124,-
399742,32444394,ENT638_RS02635,ENT638_RS02635,Ent638_0503,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32444397,ENT638_RS16130,ENT638_RS16130,Ent638_3124,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444417,ENT638_RS22575,ENT638_RS22575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444441,ENT638_RS16095,ENT638_RS16095,Ent638_3117,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444448,ENT638_RS11425,ENT638_RS11425,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444450,ENT638_RS05625,ENT638_RS05625,Ent638_1073,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444473,ENT638_RS05365,ENT638_RS05365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444474,ENT638_RS05295,ENT638_RS05295,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444502,ENT638_RS23030,ENT638_RS23030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444505,ENT638_RS00290,ENT638_RS00290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444507,ENT638_RS04080,ENT638_RS04080,Ent638_0786,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32444519,ENT638_RS01080,ENT638_RS01080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444532,ENT638_RS13285,ENT638_RS13285,Ent638_R0056,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444535,ENT638_RS04570,ENT638_RS04570,Ent638_0880,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444538,ENT638_RS06550,ENT638_RS06550,Ent638_1244,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444544,ENT638_RS15030,ENT638_RS15030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444554,ENT638_RS05340,ENT638_RS05340,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444571,ENT638_RS13275,ENT638_RS13275,Ent638_R0055,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444576,ENT638_RS06530,ENT638_RS06530,Ent638_R0040,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444593,ENT638_RS06525,ENT638_RS06525,Ent638_R0039,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444594,ENT638_RS06520,ENT638_RS06520,Ent638_R0038,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444620,ENT638_RS06515,ENT638_RS06515,Ent638_R0037,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444621,ENT638_RS20580,ENT638_RS20580,Ent638_R0096,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444628,ENT638_RS06510,ENT638_RS06510,Ent638_R0036,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444665,ENT638_RS08065,ENT638_RS08065,Ent638_R0043,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444674,ENT638_RS01170,ENT638_RS01170,Ent638_R0008,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444680,ENT638_RS22405,ENT638_RS22405,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444686,ENT638_RS00775,ENT638_RS00775,Ent638_0148,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
399742,32444704,ENT638_RS05245,ENT638_RS05245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444705,ENT638_RS00945,ENT638_RS00945,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444721,ENT638_RS05390,ENT638_RS05390,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444731,ENT638_RS05290,ENT638_RS05290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444738,ENT638_RS22375,ENT638_RS22375,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444749,ENT638_RS11625,ENT638_RS11625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444773,ENT638_RS03475,ENT638_RS03475,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200829,-
399742,32444789,ENT638_RS22385,ENT638_RS22385,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444796,ENT638_RS08940,ENT638_RS08940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444806,ENT638_RS05175,ENT638_RS05175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444829,ENT638_RS04120,ENT638_RS04120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444844,ENT638_RS05170,ENT638_RS05170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444847,ENT638_RS18930,ENT638_RS18930,Ent638_3675,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444850,ENT638_RS01015,ENT638_RS01015,Ent638_R0005,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444883,ENT638_RS11405,ENT638_RS11405,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32444887,ENT638_RS14940,ENT638_RS14940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444893,ENT638_RS22695,ENT638_RS22695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444900,ENT638_RS22600,ENT638_RS22600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444906,ENT638_RS11645,ENT638_RS11645,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444926,ENT638_RS05185,ENT638_RS05185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444934,ENT638_RS20315,ENT638_RS20315,Ent638_R0091,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32444950,ENT638_RS11590,ENT638_RS11590,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32444981,ENT638_RS10505,ENT638_RS10505,Ent638_2030,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445007,ENT638_RS13225,ENT638_RS13225,Ent638_R0054,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445011,ENT638_RS11710,ENT638_RS11710,Ent638_2268,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445022,ENT638_RS04090,ENT638_RS04090,Ent638_0789,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32445042,ENT638_RS08005,ENT638_RS08005,Ent638_1537,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445044,ENT638_RS14915,ENT638_RS14915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445050,ENT638_RS17930,ENT638_RS17930,Ent638_R0080,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445082,ENT638_RS11465,ENT638_RS11465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32445086,ENT638_RS11610,ENT638_RS11610,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445114,ENT638_RS11420,ENT638_RS11420,Ent638_2218,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445155,ENT638_RS10920,ENT638_RS10920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445157,ENT638_RS18150,ENT638_RS18150,Ent638_3521,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32445163,ENT638_RS08010,ENT638_RS08010,Ent638_1538,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32445165,ENT638_RS05915,ENT638_RS05915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445192,ENT638_RS04135,ENT638_RS04135,Ent638_0797,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32445206,ENT638_RS05160,ENT638_RS05160,Ent638_R0028,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445214,ENT638_RS06240,ENT638_RS06240,Ent638_R0034,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445220,ENT638_RS06220,ENT638_RS06220,Ent638_R0030,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445223,ENT638_RS06245,ENT638_RS06245,Ent638_R0035,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445226,ENT638_RS06215,ENT638_RS06215,Ent638_R0029,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445251,ENT638_RS16845,ENT638_RS16845,Ent638_R0076,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445322,ENT638_RS00385,ENT638_RS00385,Ent638_R0001,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445330,ENT638_RS04075,ENT638_RS04075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445353,ENT638_RS05510,ENT638_RS05510,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445354,ENT638_RS02780,ENT638_RS02780,Ent638_R0018,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445362,ENT638_RS22445,ENT638_RS22445,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445364,ENT638_RS05255,ENT638_RS05255,Ent638_1009,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445416,ENT638_RS04235,ENT638_RS04235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445417,ENT638_RS04230,ENT638_RS04230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32445419,ENT638_RS06225,ENT638_RS06225,Ent638_R0031,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445420,ENT638_RS06235,ENT638_RS06235,Ent638_R0033,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32445421,ENT638_RS06230,ENT638_RS06230,Ent638_R0032,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
