#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163887,65111753,KNT84_gp002,KNT84_gp002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2163887,65111943,KNT84_gp192,KNT84_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111944,KNT84_gp193,KNT84_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111945,KNT84_gp194,KNT84_gp194,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163887,65111946,KNT84_gp195,KNT84_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111947,KNT84_gp196,KNT84_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111948,KNT84_gp197,KNT84_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111949,KNT84_gp198,KNT84_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111950,KNT84_gp199,KNT84_gp199,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2163887,65111951,KNT84_gp200,KNT84_gp200,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2163887,65111952,KNT84_gp201,KNT84_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111953,KNT84_gp202,KNT84_gp202,-,-,-,-,packaging and recombination endonuclease VII,protein-coding,-,-,-,packaging and recombination endonuclease VII,20210607,-
2163887,65111954,KNT84_gp203,KNT84_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111955,KNT84_gp204,KNT84_gp204,-,-,-,-,conserved hypothetical predicted membrane protein,protein-coding,-,-,-,conserved hypothetical predicted membrane protein,20210607,-
2163887,65111956,KNT84_gp205,KNT84_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111957,KNT84_gp206,KNT84_gp206,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2163887,65111958,KNT84_gp207,KNT84_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111959,KNT84_gp208,KNT84_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111960,KNT84_gp209,KNT84_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111961,KNT84_gp210,KNT84_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111962,KNT84_gp211,KNT84_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111963,KNT84_gp212,KNT84_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111964,KNT84_gp213,KNT84_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111965,KNT84_gp214,KNT84_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111966,KNT84_gp215,KNT84_gp215,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210607,-
2163887,65111967,KNT84_gp216,KNT84_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111968,KNT84_gp217,KNT84_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111969,KNT84_gp218,KNT84_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111970,KNT84_gp219,KNT84_gp219,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2163887,65111971,KNT84_gp220,KNT84_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111972,KNT84_gp221,KNT84_gp221,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2163887,65111973,KNT84_gp222,KNT84_gp222,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210607,-
2163887,65111974,KNT84_gp223,KNT84_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111975,KNT84_gp224,KNT84_gp224,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2163887,65111976,KNT84_gp225,KNT84_gp225,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
2163887,65111977,KNT84_gp226,KNT84_gp226,-,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210607,-
2163887,65111978,KNT84_gp227,KNT84_gp227,-,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210607,-
2163887,65111979,KNT84_gp228,KNT84_gp228,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210607,-
2163887,65111980,KNT84_gp229,KNT84_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111981,KNT84_gp230,KNT84_gp230,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2163887,65111982,KNT84_gp231,KNT84_gp231,-,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210607,-
2163887,65111983,KNT84_gp232,KNT84_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111984,KNT84_gp233,KNT84_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111985,KNT84_gp234,KNT84_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111986,KNT84_gp235,KNT84_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111987,KNT84_gp236,KNT84_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111988,KNT84_gp237,KNT84_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111989,KNT84_gp238,KNT84_gp238,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210609,-
2163887,65111990,KNT84_gp239,KNT84_gp239,-,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210607,-
2163887,65111991,KNT84_gp240,KNT84_gp240,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210607,-
2163887,65111992,KNT84_gp241,KNT84_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111993,KNT84_gp242,KNT84_gp242,-,-,-,-,"discriminator of mRNA degradation, phage-associated",protein-coding,-,-,-,"discriminator of mRNA degradation, phage-associated",20210607,-
2163887,65111994,KNT84_gp243,KNT84_gp243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111995,KNT84_gp244,KNT84_gp244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111996,KNT84_gp245,KNT84_gp245,-,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2163887,65111997,KNT84_gp246,KNT84_gp246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111998,KNT84_gp247,KNT84_gp247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111999,KNT84_gp248,KNT84_gp248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112000,KNT84_gp249,KNT84_gp249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112001,KNT84_gp250,KNT84_gp250,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210607,-
2163887,65112002,KNT84_gp251,KNT84_gp251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112003,KNT84_gp252,KNT84_gp252,-,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20210607,-
2163887,65112004,KNT84_gp253,KNT84_gp253,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2163887,65112005,KNT84_gp254,KNT84_gp254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112006,KNT84_gp255,KNT84_gp255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112007,KNT84_gp256,KNT84_gp256,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2163887,65112008,KNT84_gp257,KNT84_gp257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112009,KNT84_gp258,KNT84_gp258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112010,KNT84_gp259,KNT84_gp259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112011,KNT84_gp260,KNT84_gp260,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2163887,65112012,KNT84_gp261,KNT84_gp261,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2163887,65112013,KNT84_gp262,KNT84_gp262,-,-,-,-,putative Srd anti-sigma factor,protein-coding,-,-,-,putative Srd anti-sigma factor,20210607,-
2163887,65112014,KNT84_gp263,KNT84_gp263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112015,KNT84_gp264,KNT84_gp264,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163887,65112016,KNT84_gp265,KNT84_gp265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112017,KNT84_gp266,KNT84_gp266,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210607,-
2163887,65112018,KNT84_gp267,KNT84_gp267,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112019,KNT84_gp268,KNT84_gp268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112020,KNT84_gp269,KNT84_gp269,-,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20210607,-
2163887,65112021,KNT84_gp270,KNT84_gp270,-,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20210607,-
2163887,65112022,KNT84_gp271,KNT84_gp271,-,-,-,-,putative RNA metabolism modulator,protein-coding,-,-,-,putative RNA metabolism modulator,20210607,-
2163887,65112023,KNT84_gp272,KNT84_gp272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112024,KNT84_gp273,KNT84_gp273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112025,KNT84_gp274,KNT84_gp274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112026,KNT84_gp275,KNT84_gp275,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20210607,-
2163887,65112027,KNT84_gp276,KNT84_gp276,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65112028,KNT84_gp001,KNT84_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65242759,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage vB_EcoS_IME281).,other,-,-,-,-,20210609,-
