#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965472,56137703,H1Z35_gp002,H1Z35_gp002,AM4_002,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210515,-
1965472,56137882,H1Z35_gp071,H1Z35_gp071,AM4_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137883,H1Z35_gp070,H1Z35_gp070,AM4_182,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137884,H1Z35_gp069,H1Z35_gp069,AM4_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137885,H1Z35_gp068,H1Z35_gp068,AM4_184,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137886,H1Z35_gp067,H1Z35_gp067,AM4_185,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137887,H1Z35_gp066,H1Z35_gp066,AM4_186,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210515,-
1965472,56137888,H1Z35_gp065,H1Z35_gp065,AM4_187,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137889,H1Z35_gp064,H1Z35_gp064,AM4_188,-,-,-,protein YonF,protein-coding,-,-,-,protein YonF,20200724,-
1965472,56137890,H1Z35_gp063,H1Z35_gp063,AM4_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137891,H1Z35_gp062,H1Z35_gp062,AM4_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137892,H1Z35_gp061,H1Z35_gp061,AM4_191,-,-,-,phosphate-starvation-inducible protein PhoH/ATPase,protein-coding,-,-,-,phosphate-starvation-inducible protein PhoH/ATPase,20210515,-
1965472,56137893,H1Z35_gp060,H1Z35_gp060,AM4_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137894,H1Z35_gp059,H1Z35_gp059,AM4_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137895,H1Z35_gp058,H1Z35_gp058,AM4_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137896,H1Z35_gp057,H1Z35_gp057,AM4_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137897,H1Z35_gp194,H1Z35_gp194,AM4_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137898,H1Z35_gt003,H1Z35_gt003,AM4_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965472,56137899,H1Z35_gp189,H1Z35_gp189,AM4_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56166616,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
