#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391428,17776252,X824_gp002,X824_gp002,ST4MG_002,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1391428,17776441,X824_gp158,X824_gp158,ST4MG_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776442,X824_gp157,X824_gp157,ST4MG_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776443,X824_gp156,X824_gp156,ST4MG_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776444,X824_gp155,X824_gp155,ST4MG_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776445,X824_gp154,X824_gp154,ST4MG_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776446,X824_gp153,X824_gp153,ST4MG_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776447,X824_gp152,X824_gp152,ST4MG_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776448,X824_gp151,X824_gp151,ST4MG_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776449,X824_gp150,X824_gp150,ST4MG_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776450,X824_gp149,X824_gp149,ST4MG_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776451,X824_gp148,X824_gp148,ST4MG_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776452,X824_gp147,X824_gp147,ST4MG_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776453,X824_gp146,X824_gp146,ST4MG_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776454,X824_gp145,X824_gp145,ST4MG_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776455,X824_gp144,X824_gp144,ST4MG_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776456,X824_gp143,X824_gp143,ST4MG_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776457,X824_gp142,X824_gp142,ST4MG_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776458,X824_gp141,X824_gp141,ST4MG_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776459,X824_gp140,X824_gp140,ST4MG_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776460,X824_gp139,X824_gp139,ST4MG_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776461,X824_gp138,X824_gp138,ST4MG_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776462,X824_gp137,X824_gp137,ST4MG_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776463,X824_gp136,X824_gp136,ST4MG_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776464,X824_gp135,X824_gp135,ST4MG_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776465,X824_gp134,X824_gp134,ST4MG_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776466,X824_gp133,X824_gp133,ST4MG_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776467,X824_gp132,X824_gp132,ST4MG_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776468,X824_gp131,X824_gp131,ST4MG_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776469,X824_gp130,X824_gp130,ST4MG_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776470,X824_gp129,X824_gp129,ST4MG_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776471,X824_gp128,X824_gp128,ST4MG_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776472,X824_gp127,X824_gp127,ST4MG_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776473,X824_gp126,X824_gp126,ST4MG_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776474,X824_gp125,X824_gp125,ST4MG_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776475,X824_gp124,X824_gp124,ST4MG_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776476,X824_gp123,X824_gp123,ST4MG_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776477,X824_gp122,X824_gp122,ST4MG_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776478,X824_gp121,X824_gp121,ST4MG_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776479,X824_gp120,X824_gp120,ST4MG_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776480,X824_gp119,X824_gp119,ST4MG_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776481,X824_gp118,X824_gp118,ST4MG_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776482,X824_gp117,X824_gp117,ST4MG_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776483,X824_gp116,X824_gp116,ST4MG_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776484,X824_gp115,X824_gp115,ST4MG_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776485,X824_gp114,X824_gp114,ST4MG_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776486,X824_gp113,X824_gp113,ST4MG_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776487,X824_gp112,X824_gp112,ST4MG_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776488,X824_gp111,X824_gp111,ST4MG_238,-,-,-,helix-turn-helix DNA-binding domain-containing protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain-containing protein,20200910,-
1391428,17776489,X824_gp110,X824_gp110,ST4MG_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776490,X824_gp109,X824_gp109,ST4MG_240,-,-,-,vWA-like domain-containing protein,protein-coding,-,-,-,vWA-like domain-containing protein,20200910,-
1391428,17776491,X824_gp108,X824_gp108,ST4MG_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776492,X824_gp107,X824_gp107,ST4MG_242,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200910,-
1391428,17776493,X824_gp106,X824_gp106,ST4MG_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776494,X824_gp105,X824_gp105,ST4MG_244,-,-,-,putative metal dependent phosphohydrolase,protein-coding,-,-,-,putative metal dependent phosphohydrolase,20200910,-
1391428,17776495,X824_gp104,X824_gp104,ST4MG_245,-,-,-,helix-turn-helix DNA-binding domain-containing protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain-containing protein,20200910,-
1391428,17776496,X824_gp103,X824_gp103,ST4MG_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776497,X824_gp102,X824_gp102,ST4MG_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776498,X824_gp101,X824_gp101,ST4MG_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776499,X824_gp100,X824_gp100,ST4MG_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776500,X824_gp099,X824_gp099,ST4MG_250,-,-,-,putative MoxR ATPase,protein-coding,-,-,-,putative MoxR ATPase,20200910,-
1391428,17776501,X824_gp098,X824_gp098,ST4MG_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776502,X824_gp097,X824_gp097,ST4MG_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776503,X824_gp096,X824_gp096,ST4MG_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776504,X824_gp095,X824_gp095,ST4MG_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776505,X824_gp094,X824_gp094,ST4MG_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776506,X824_gp093,X824_gp093,ST4MG_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776507,X824_gp092,X824_gp092,ST4MG_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776508,X824_gp091,X824_gp091,ST4MG_258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776509,X824_gp090,X824_gp090,ST4MG_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776510,X824_gp089,X824_gp089,ST4MG_260,-,-,-,putative phosphatase,protein-coding,-,-,-,putative phosphatase,20200910,-
1391428,17776511,X824_gp088,X824_gp088,ST4MG_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776512,X824_gp087,X824_gp087,ST4MG_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776513,X824_gp086,X824_gp086,ST4MG_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776514,X824_gp085,X824_gp085,ST4MG_264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776515,X824_gp084,X824_gp084,ST4MG_265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776516,X824_gp083,X824_gp083,ST4MG_266,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200910,-
1391428,17776517,X824_gp082,X824_gp082,ST4MG_267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776518,X824_gp081,X824_gp081,ST4MG_268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776519,X824_gp080,X824_gp080,ST4MG_269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776520,X824_gp079,X824_gp079,ST4MG_270,-,-,-,cell wall hydrolase SleB,protein-coding,-,-,-,cell wall hydrolase SleB,20200910,-
1391428,17776521,X824_gp078,X824_gp078,ST4MG_271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776522,X824_gp001,X824_gp001,ST4MG_001,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1391428,17776523,X824_gp263,X824_gp263,ST4MG_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776524,X824_gp265,X824_gp265,ST4MG_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776525,X824_gp269,X824_gp269,ST4MG_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776526,X824_gt019,X824_gt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776527,X824_gt018,X824_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776528,X824_gt017,X824_gt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776529,X824_gp270,X824_gp270,ST4MG_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776530,X824_gt015,X824_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776531,X824_gt014,X824_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776532,X824_gt013,X824_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776533,X824_gt012,X824_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776534,X824_gp271,X824_gp271,ST4MG_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776535,X824_gt010,X824_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776536,X824_gt009,X824_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776537,X824_gt008,X824_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776538,X824_gt007,X824_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776539,X824_gt006,X824_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776540,X824_gt005,X824_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776541,X824_gt004,X824_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776542,X824_gt003,X824_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776543,X824_gt002,X824_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17849480,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage 4MG).,other,-,-,-,-,20200513,-
