#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
418784,36565726,C7M61_002337,C7M61_002337,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565727,C7M61_002338,C7M61_002338,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565728,C7M61_002339,C7M61_002339,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565729,C7M61_002340,C7M61_002340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565730,C7M61_002341,C7M61_002341,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565731,C7M61_002342,C7M61_002342,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565732,C7M61_002343,C7M61_002343,-,-,Unknown,-,"histidine-tRNA ligase, mitochondrial",protein-coding,-,-,-,"histidine-tRNA ligase, mitochondrial",20200919,-
418784,36565733,C7M61_002344,C7M61_002344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565734,C7M61_002345,C7M61_002345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565735,C7M61_002346,C7M61_002346,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565736,C7M61_002347,C7M61_002347,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565737,C7M61_002348,C7M61_002348,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565738,C7M61_002349,C7M61_002349,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565739,C7M61_002350,C7M61_002350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565740,C7M61_002351,C7M61_002351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565741,C7M61_002352,C7M61_002352,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565742,C7M61_002353,C7M61_002353,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565743,C7M61_002354,C7M61_002354,-,-,Unknown,-,trehalose-phosphatase,protein-coding,-,-,-,trehalose-phosphatase,20200919,-
418784,36565744,C7M61_002355,C7M61_002355,-,-,Unknown,-,"polyadenylate-binding protein, cytoplasmic and nuclear",protein-coding,-,-,-,"polyadenylate-binding protein, cytoplasmic and nuclear",20200919,-
418784,36565745,C7M61_002356,C7M61_002356,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565746,C7M61_002357,C7M61_002357,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565747,C7M61_002358,C7M61_002358,-,-,Unknown,-,40S ribosomal protein S6,protein-coding,-,-,-,40S ribosomal protein S6,20200919,-
418784,36565748,C7M61_002359,C7M61_002359,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565749,C7M61_002360,C7M61_002360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565750,C7M61_002361,C7M61_002361,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565751,C7M61_002362,C7M61_002362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565752,C7M61_002363,C7M61_002363,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565753,C7M61_002364,C7M61_002364,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565754,C7M61_002365,C7M61_002365,-,-,Unknown,-,"malate dehydrogenase, mitochondrial",protein-coding,-,-,-,"malate dehydrogenase, mitochondrial",20200919,-
418784,36565755,C7M61_002366,C7M61_002366,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36565756,C7M61_002367,C7M61_002367,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565757,C7M61_002368,C7M61_002368,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
