#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
813,2827981,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Chlamydozoon trachomatis; Rickettsia trachomae; Rickettsia trachomatis.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210313,-
813,35554356,KW40_RS00315,KW40_RS00315,O176_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554397,KW40_RS01680,KW40_RS01680,O176_01725,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554399,KW40_RS01690,KW40_RS01690,O176_01735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554409,KW40_RS01730,KW40_RS01730,O176_01780,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554454,KW40_RS04345,KW40_RS04345,O176_04460,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554485,KW40_RS03535,KW40_RS03535,O176_03615,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554505,KW40_RS03635,KW40_RS03635,O176_03720,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554508,KW40_RS03650,KW40_RS03650,O176_03735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554509,KW40_RS03655,KW40_RS03655,O176_03740,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554514,KW40_RS03680,KW40_RS03680,O176_03765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554531,KW40_RS02665,KW40_RS02665,O176_02745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554541,KW40_RS02710,KW40_RS02710,O176_02790,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554616,KW40_RS02890,KW40_RS02890,O176_02970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554671,KW40_RS00730,KW40_RS00730,O176_00765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554672,KW40_RS00735,KW40_RS00735,O176_00770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554697,KW40_RS03990,KW40_RS03990,O176_04095,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554722,KW40_RS04115,KW40_RS04115,O176_04225,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554759,KW40_RS04515,KW40_RS04515,O176_04640,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554767,KW40_RS04555,KW40_RS04555,O176_04685,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554812,KW40_RS00195,KW40_RS00195,O176_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554902,KW40_RS03245,KW40_RS03245,O176_03305,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554928,KW40_RS03820,KW40_RS03820,O176_03920,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554977,KW40_RS00940,KW40_RS00940,O176_00970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554978,KW40_RS00945,KW40_RS00945,O176_00975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555006,KW40_RS01085,KW40_RS01085,O176_01115,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555007,KW40_RS01090,KW40_RS01090,O176_01120,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555022,KW40_RS01165,KW40_RS01165,O176_01195,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555023,KW40_RS01170,KW40_RS01170,O176_01200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555048,KW40_RS02485,KW40_RS02485,O176_02555,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555052,KW40_RS02505,KW40_RS02505,O176_02575,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555056,KW40_RS02525,KW40_RS02525,O176_02595,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555075,KW40_RS02200,KW40_RS02200,O176_02255,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555082,KW40_RS02235,KW40_RS02235,O176_02290,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555143,KW40_RS03400,KW40_RS03400,O176_03465,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555149,KW40_RS03430,KW40_RS03430,O176_03500,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555179,KW37_RS00195,KW37_RS00195,O178_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555209,KW37_RS00315,KW37_RS00315,O178_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555293,KW37_RS00730,KW37_RS00730,O178_00755,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555294,KW37_RS00735,KW37_RS00735,O178_00760,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555334,KW37_RS00955,KW37_RS00955,O178_00975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555335,KW37_RS00960,KW37_RS00960,O178_00980,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555359,KW37_RS02680,KW37_RS02680,O178_02750,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555369,KW37_RS02725,KW37_RS02725,O178_02795,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555405,KW37_RS02905,KW37_RS02905,O178_02975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555477,KW37_RS03260,KW37_RS03260,O178_03320,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555508,KW37_RS03410,KW37_RS03410,O178_03475,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555514,KW37_RS03440,KW37_RS03440,O178_03510,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555557,KW37_RS04715,KW37_RS04715,O178_04840,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555587,KW37_RS01910,KW37_RS01910,O178_01945,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555649,KW37_RS02215,KW37_RS02215,O178_02255,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555656,KW37_RS02250,KW37_RS02250,O178_02290,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555708,KW37_RS02500,KW37_RS02500,O178_02560,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555712,KW37_RS02520,KW37_RS02520,O178_02580,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555716,KW37_RS02540,KW37_RS02540,O178_02600,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555741,KW37_RS03550,KW37_RS03550,O178_03620,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555761,KW37_RS03650,KW37_RS03650,O178_03725,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555764,KW37_RS03665,KW37_RS03665,O178_03745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555765,KW37_RS03670,KW37_RS03670,O178_03750,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555770,KW37_RS03695,KW37_RS03695,O178_03775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555798,KW37_RS03835,KW37_RS03835,O178_03930,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555832,KW37_RS04005,KW37_RS04005,O178_04100,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555857,KW37_RS04130,KW37_RS04130,O178_04230,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555903,KW37_RS04355,KW37_RS04355,O178_04470,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555940,KW37_RS04520,KW37_RS04520,O178_04650,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555948,KW37_RS04560,KW37_RS04560,O178_04695,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555974,KW37_RS01100,KW37_RS01100,O178_01120,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555975,KW37_RS01105,KW37_RS01105,O178_01125,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555990,KW37_RS01180,KW37_RS01180,O178_01200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35555991,KW37_RS01185,KW37_RS01185,O178_01205,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556095,KW37_RS01695,KW37_RS01695,O178_01720,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556097,KW37_RS01705,KW37_RS01705,O178_01730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556105,KW37_RS01745,KW37_RS01745,O178_01770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556158,KW38_RS00195,KW38_RS00195,O180_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556182,KW38_RS00315,KW38_RS00315,O180_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556284,KW38_RS04515,KW38_RS04515,O180_04630,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556292,KW38_RS04555,KW38_RS04555,O180_04675,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556322,KW38_RS04710,KW38_RS04710,O180_04820,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556341,KW38_RS00730,KW38_RS00730,O180_00760,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556342,KW38_RS00735,KW38_RS00735,O180_00765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556382,KW38_RS00955,KW38_RS00955,O180_00980,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556383,KW38_RS00960,KW38_RS00960,O180_00985,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556411,KW38_RS01100,KW38_RS01100,O180_01125,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556412,KW38_RS01105,KW38_RS01105,O180_01130,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556427,KW38_RS01180,KW38_RS01180,O180_01205,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556428,KW38_RS01185,KW38_RS01185,O180_01210,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556532,KW38_RS01695,KW38_RS01695,O180_01730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556534,KW38_RS01705,KW38_RS01705,O180_01740,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556542,KW38_RS01740,KW38_RS01740,O180_01775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556575,KW38_RS01905,KW38_RS01905,O180_01945,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556637,KW38_RS02210,KW38_RS02210,O180_02250,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556644,KW38_RS02245,KW38_RS02245,O180_02285,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556696,KW38_RS02495,KW38_RS02495,O180_02555,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556700,KW38_RS02515,KW38_RS02515,O180_02575,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556704,KW38_RS02535,KW38_RS02535,O180_02595,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556732,KW38_RS02675,KW38_RS02675,O180_02745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556742,KW38_RS02720,KW38_RS02720,O180_02790,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556778,KW38_RS02900,KW38_RS02900,O180_02970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556849,KW38_RS03255,KW38_RS03255,O180_03305,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556880,KW38_RS03405,KW38_RS03405,O180_03460,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556886,KW38_RS03435,KW38_RS03435,O180_03495,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556907,KW38_RS03545,KW38_RS03545,O180_03605,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556927,KW38_RS03645,KW38_RS03645,O180_03710,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556930,KW38_RS03660,KW38_RS03660,O180_03730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556931,KW38_RS03665,KW38_RS03665,O180_03735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556936,KW38_RS03690,KW38_RS03690,O180_03760,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556965,KW38_RS03830,KW38_RS03830,O180_03915,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35556999,KW38_RS04000,KW38_RS04000,O180_04085,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35557024,KW38_RS04125,KW38_RS04125,O180_04215,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35557070,KW38_RS04350,KW38_RS04350,O180_04450,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
