#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026080,40089203,FDI45_gp090,FDI45_gp090,RISINGSUN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089204,FDI45_gp091,FDI45_gp091,RISINGSUN_91,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089205,FDI45_gp092,FDI45_gp092,RISINGSUN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089206,FDI45_gp093,FDI45_gp093,RISINGSUN_93,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20201221,-
2026080,40089207,FDI45_gp094,FDI45_gp094,RISINGSUN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089208,FDI45_gp095,FDI45_gp095,RISINGSUN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089209,FDI45_gp096,FDI45_gp096,RISINGSUN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089210,FDI45_gp097,FDI45_gp097,RISINGSUN_97,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089211,FDI45_gp098,FDI45_gp098,RISINGSUN_98,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2026080,40089212,FDI45_gp099,FDI45_gp099,RISINGSUN_99,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089213,FDI45_gp100,FDI45_gp100,RISINGSUN_100,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089214,FDI45_gp101,FDI45_gp101,RISINGSUN_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
