#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
90370,7708554,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus typhi; Bacterium (subgen. Eberthella) typhi; Salmonella choleraesuis serovar Typhi; Salmonella choleraesuis typhi; Salmonella enterica ser. typhi; Salmonella enterica serotype Typhi; Salmonella enterica serovar Typhi; Salmonella typhi).,other,-,-,-,-,20210220,-
90370,39666866,SM213186_RS00770,SM213186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666877,SM213186_RS00950,SM213186_RS00950,SM213186_07307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666894,SM213186_RS00915,SM213186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666930,SM213186_RS01025,SM213186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666952,SM213186_RS00195,SM213186_RS00195,SM213186_07097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39666960,SM207186_RS01200,SM207186_RS01200,SM207186_07310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666971,SM207186_RS00955,SM207186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666996,SM207186_RS00500,SM207186_RS00500,SM207186_07305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667010,SM207186_RS01110,SM207186_RS01110,SM207186_07238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39667014,SM207186_RS00915,SM207186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667037,SM207186_RS00875,SM207186_RS00875,SM207186_07297,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667039,SM207186_RS00555,SM207186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667065,SM207186_RS01025,SM207186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667072,SM207186_RS00950,SM207186_RS00950,SM207186_07312,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667075,SM207186_RS00715,SM207186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667085,SM207186_RS01020,SM207186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667088,SM207186_RS00190,SM207186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39667097,SM207186_RS00810,SM207186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667099,SM207186_RS00345,SM207186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667117,SM207186_RS00195,SM207186_RS00195,SM207186_07099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39667151,SM207186_RS00770,SM207186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667183,SM207186_RS00110,SM207186_RS00110,SM207186_07323,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667188,SM207186_RS00825,SM207186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667197,SM207186_RS00075,SM207186_RS00075,SM207186_07075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667214,SM206186_RS00950,SM206186_RS00950,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667217,SM206186_RS00550,SM206186_RS00550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667245,SM206186_RS00910,SM206186_RS00910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667249,SM206186_RS00195,SM206186_RS00195,SM206186_07100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39667253,SM206186_RS01020,SM206186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667277,SM206186_RS00945,SM206186_RS00945,SM206186_07323,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667281,SM206186_RS00075,SM206186_RS00075,SM206186_07070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667290,SM206186_RS00820,SM206186_RS00820,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667294,SM206186_RS01105,SM206186_RS01105,SM206186_07251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39667309,SM206186_RS00110,SM206186_RS00110,SM206186_07308,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667325,SM206186_RS00765,SM206186_RS00765,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667340,SM206186_RS00495,SM206186_RS00495,SM206186_07319,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667341,SM206186_RS01195,SM206186_RS01195,SM206186_07325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667378,SM206186_RS00805,SM206186_RS00805,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667402,SM206186_RS00710,SM206186_RS00710,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667423,SM206186_RS00870,SM206186_RS00870,SM206186_07309,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667441,SM206186_RS00190,SM206186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39667451,SM206186_RS01015,SM206186_RS01015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667471,SM203186_RS00190,SM203186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39667472,SM203186_RS00345,SM203186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667484,SM203186_RS00500,SM203186_RS00500,SM203186_07322,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667488,SM203186_RS00825,SM203186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667495,SM203186_RS01110,SM203186_RS01110,SM203186_07207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39667519,SM203186_RS00110,SM203186_RS00110,SM203186_07301,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667520,SM203186_RS00875,SM203186_RS00875,SM203186_07317,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667528,SM203186_RS00075,SM203186_RS00075,SM203186_07061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667562,SM203186_RS01200,SM203186_RS01200,SM203186_07321,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667566,SM203186_RS00915,SM203186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667588,SM203186_RS00950,SM203186_RS00950,SM203186_07313,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667603,SM203186_RS00715,SM203186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667608,SM203186_RS00955,SM203186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667611,SM203186_RS00195,SM203186_RS00195,SM203186_07087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39667619,SM203186_RS01020,SM203186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667647,SM203186_RS00770,SM203186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667649,SM203186_RS00555,SM203186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667669,SM203186_RS01025,SM203186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667689,SM203186_RS00810,SM203186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667706,SM212186_RS00810,SM212186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667711,SM212186_RS00950,SM212186_RS00950,SM212186_07318,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667744,SM212186_RS01020,SM212186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667747,SM212186_RS00110,SM212186_RS00110,SM212186_07329,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667748,SM212186_RS01200,SM212186_RS01200,SM212186_07316,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667768,SM212186_RS01025,SM212186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667806,SM212186_RS00875,SM212186_RS00875,SM212186_07307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667825,SM212186_RS00500,SM212186_RS00500,SM212186_07309,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667857,SM212186_RS00190,SM212186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39667876,SM212186_RS00345,SM212186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667879,SM212186_RS00770,SM212186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667882,SM212186_RS00825,SM212186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667894,SM212186_RS00915,SM212186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667897,SM212186_RS01110,SM212186_RS01110,SM212186_07236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39667908,SM212186_RS00075,SM212186_RS00075,SM212186_07062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667915,SM212186_RS00195,SM212186_RS00195,SM212186_07074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39667918,SM212186_RS00715,SM212186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667926,SM212186_RS00555,SM212186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667950,SM212186_RS00955,SM212186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667965,SM210186_RS25500,SM210186_RS25500,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39667988,SM210186_RS25250,SM210186_RS25250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667991,SM210186_RS25505,SM210186_RS25505,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39667997,SM210186_RS25590,SM210186_RS25590,SM210186_07247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39668014,SM210186_RS24980,SM210186_RS24980,SM210186_07326,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668021,SM210186_RS25435,SM210186_RS25435,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668028,SM210186_RS24665,SM210186_RS24665,SM210186_07097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39668030,SM210186_RS25305,SM210186_RS25305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668031,SM210186_RS25430,SM210186_RS25430,SM210186_07297,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668033,SM210186_RS25035,SM210186_RS25035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668076,SM210186_RS25290,SM210186_RS25290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668082,SM210186_RS24660,SM210186_RS24660,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39668130,SM210186_RS25680,SM210186_RS25680,SM210186_07295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668131,SM210186_RS25195,SM210186_RS25195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668163,SM210186_RS24580,SM210186_RS24580,SM210186_07304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668166,SM210186_RS24545,SM210186_RS24545,SM210186_07058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668175,SM210186_RS25395,SM210186_RS25395,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668177,SM210186_RS24815,SM210186_RS24815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668203,SM210186_RS25355,SM210186_RS25355,SM210186_07312,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668207,SM208186_RS00555,SM208186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668208,SM208186_RS00810,SM208186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668249,SM208186_RS00825,SM208186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668269,SM208186_RS00875,SM208186_RS00875,SM208186_07324,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668283,SM208186_RS00195,SM208186_RS00195,SM208186_07100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39668298,SM208186_RS00345,SM208186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668302,SM208186_RS00110,SM208186_RS00110,SM208186_07325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668314,SM208186_RS01200,SM208186_RS01200,SM208186_07315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668321,SM208186_RS00190,SM208186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39668349,SM208186_RS01025,SM208186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668355,SM208186_RS00950,SM208186_RS00950,SM208186_07304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668359,SM208186_RS00075,SM208186_RS00075,SM208186_07076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668366,SM208186_RS00770,SM208186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668376,SM208186_RS00715,SM208186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668382,SM208186_RS00915,SM208186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668389,SM208186_RS00955,SM208186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668423,SM208186_RS01110,SM208186_RS01110,SM208186_07236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39668437,SM208186_RS01020,SM208186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668444,SM208186_RS00500,SM208186_RS00500,SM208186_07326,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668454,SM205186_RS25080,SM205186_RS25080,SM205186_07172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668455,SM205186_RS24865,SM205186_RS24865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668457,SM205186_RS25440,SM205186_RS25440,SM205186_06161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39668477,SM205186_RS25350,SM205186_RS25350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668490,SM205186_RS25390,SM205186_RS25390,SM205186_00083,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39668493,SM205186_RS24885,SM205186_RS24885,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668499,SM205186_RS25465,SM205186_RS25465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668507,SM205186_RS25100,SM205186_RS25100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668509,SM205186_RS25375,SM205186_RS25375,SM205186_06157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668536,SM205186_RS24990,SM205186_RS24990,SM205186_07158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39668537,SM205186_RS25340,SM205186_RS25340,SM205186_06152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39668556,SM205186_RS24855,SM205186_RS24855,SM205186_07139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668565,SM205186_RS25295,SM205186_RS25295,SM205186_06144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668572,SM205186_RS25030,SM205186_RS25030,SM205186_07171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668576,SM205186_RS24980,SM205186_RS24980,SM205186_07166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668589,SM204186_RS00915,SM204186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668622,SM204186_RS00195,SM204186_RS00195,SM204186_07102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39668625,SM204186_RS00345,SM204186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668640,SM204186_RS00555,SM204186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668643,SM204186_RS00110,SM204186_RS00110,SM204186_07313,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668696,SM204186_RS00955,SM204186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668702,SM204186_RS00190,SM204186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39668724,SM204186_RS00950,SM204186_RS00950,SM204186_07325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668730,SM204186_RS00770,SM204186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668732,SM204186_RS01020,SM204186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668733,SM204186_RS00875,SM204186_RS00875,SM204186_07301,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668745,SM204186_RS00810,SM204186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668762,SM204186_RS00075,SM204186_RS00075,SM204186_07076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668766,SM204186_RS01025,SM204186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668784,SM204186_RS01200,SM204186_RS01200,SM204186_07307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668789,SM204186_RS01110,SM204186_RS01110,SM204186_07239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39668797,SM204186_RS00500,SM204186_RS00500,SM204186_07302,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668798,SM204186_RS00825,SM204186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668824,SM204186_RS00715,SM204186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668847,SM202186_RS00875,SM202186_RS00875,SM202186_07346,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668848,SM202186_RS00825,SM202186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668854,SM202186_RS00955,SM202186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668867,SM202186_RS00715,SM202186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668871,SM202186_RS00190,SM202186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39668884,SM202186_RS01020,SM202186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668889,SM202186_RS00110,SM202186_RS00110,SM202186_07353,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668922,SM202186_RS00075,SM202186_RS00075,SM202186_07098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668924,SM202186_RS00770,SM202186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668943,SM202186_RS00500,SM202186_RS00500,SM202186_07334,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39668961,SM202186_RS00195,SM202186_RS00195,SM202186_07120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39668978,SM202186_RS01025,SM202186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39668986,SM202186_RS01110,SM202186_RS01110,SM202186_07277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39668990,SM202186_RS00810,SM202186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669009,SM202186_RS00345,SM202186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669014,SM202186_RS01200,SM202186_RS01200,SM202186_07343,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669022,SM202186_RS00915,SM202186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669035,SM202186_RS00555,SM202186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669073,SM202186_RS00950,SM202186_RS00950,SM202186_07339,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669095,SM201186_RS00920,SM201186_RS00920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669098,SM201186_RS01030,SM201186_RS01030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669099,SM201186_RS00190,SM201186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39669103,SM201186_RS00195,SM201186_RS00195,SM201186_06184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39669117,SM201186_RS01205,SM201186_RS01205,SM201186_07273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669118,SM201186_RS00880,SM201186_RS00880,SM201186_07295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669132,SM201186_RS00815,SM201186_RS00815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669136,SM201186_RS00345,SM201186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669138,SM201186_RS00720,SM201186_RS00720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669145,SM201186_RS00830,SM201186_RS00830,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669171,SM201186_RS01025,SM201186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669205,SM201186_RS00775,SM201186_RS00775,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669213,SM201186_RS00955,SM201186_RS00955,SM201186_07282,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669228,SM201186_RS00110,SM201186_RS00110,SM201186_07287,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669246,SM201186_RS00500,SM201186_RS00500,SM201186_07292,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669283,SM201186_RS01115,SM201186_RS01115,SM201186_06335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39669307,SM201186_RS00555,SM201186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669327,SM201186_RS00075,SM201186_RS00075,SM201186_06159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669329,SM201186_RS00960,SM201186_RS00960,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669338,SM251131_RS25000,SM251131_RS25000,SM251131_07136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
