#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1493513,24404849,ABY41_gp002,ABY41_gp002,Syn7803US120_2,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20201221,-
1493513,24405025,ABY41_gp178,ABY41_gp178,Syn7803US120_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405026,ABY41_gp179,ABY41_gp179,Syn7803US120_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405027,ABY41_gp180,ABY41_gp180,Syn7803US120_180,-,-,-,OMP1 protein,protein-coding,-,-,-,OMP1 protein,20201221,-
1493513,24405028,ABY41_gp181,ABY41_gp181,Syn7803US120_181,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20201221,-
1493513,24405029,ABY41_gp182,ABY41_gp182,Syn7803US120_182,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20201221,-
1493513,24405030,ABY41_gp183,ABY41_gp183,Syn7803US120_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405031,ABY41_gp184,ABY41_gp184,Syn7803US120_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405032,ABY41_gp185,ABY41_gp185,Syn7803US120_185,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20201221,-
1493513,24405033,ABY41_gp186,ABY41_gp186,Syn7803US120_186,-,-,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20201221,-
1493513,24405034,ABY41_gp187,ABY41_gp187,Syn7803US120_187,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20201221,-
1493513,24405035,ABY41_gp188,ABY41_gp188,Syn7803US120_188,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20201221,-
1493513,24405036,ABY41_gp189,ABY41_gp189,Syn7803US120_189,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1493513,24405037,ABY41_gp190,ABY41_gp190,Syn7803US120_190,-,-,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20201221,-
1493513,24405038,ABY41_gp191,ABY41_gp191,Syn7803US120_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405039,ABY41_gp192,ABY41_gp192,Syn7803US120_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405040,ABY41_gp193,ABY41_gp193,Syn7803US120_193,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,protein-coding,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,20201221,-
1493513,24405041,ABY41_gp194,ABY41_gp194,Syn7803US120_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405042,ABY41_gp195,ABY41_gp195,Syn7803US120_195,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20201221,-
1493513,24405043,ABY41_gp196,ABY41_gp196,Syn7803US120_196,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1493513,24405044,ABY41_gp197,ABY41_gp197,Syn7803US120_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405045,ABY41_gp198,ABY41_gp198,Syn7803US120_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405046,ABY41_gp199,ABY41_gp199,Syn7803US120_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405047,ABY41_gp200,ABY41_gp200,Syn7803US120_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405048,ABY41_gp201,ABY41_gp201,Syn7803US120_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405049,ABY41_gp202,ABY41_gp202,Syn7803US120_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405050,ABY41_gp203,ABY41_gp203,Syn7803US120_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405051,ABY41_gp204,ABY41_gp204,Syn7803US120_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405052,ABY41_gp205,ABY41_gp205,Syn7803US120_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405053,ABY41_gp206,ABY41_gp206,Syn7803US120_206,-,-,-,thymidylate synthetase,protein-coding,-,-,-,thymidylate synthetase,20201221,-
1493513,24405054,ABY41_gp207,ABY41_gp207,Syn7803US120_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405055,ABY41_gp208,ABY41_gp208,Syn7803US120_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405056,ABY41_gp209,ABY41_gp209,Syn7803US120_209,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20201221,-
1493513,24405057,ABY41_gp210,ABY41_gp210,Syn7803US120_210,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1493513,24405058,ABY41_gp211,ABY41_gp211,Syn7803US120_211,-,-,-,late promoter transcription protein,protein-coding,-,-,-,late promoter transcription protein,20201221,-
1493513,24405059,ABY41_gp212,ABY41_gp212,Syn7803US120_212,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20201221,-
1493513,24405060,ABY41_gp001,ABY41_gp001,Syn7803US120_1,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1493513,24422654,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Synechococcus phage Syn7803US120).,other,-,-,-,-,20200513,-
