#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163633,65112560,KNT87_gp001,KNT87_gp001,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163633,65112759,KNT87_gp243,KNT87_gp243,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210607,-
2163633,65112760,KNT87_gp242,KNT87_gp242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112761,KNT87_gp241,KNT87_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112762,KNT87_gp240,KNT87_gp240,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2163633,65112763,KNT87_gp239,KNT87_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112764,KNT87_gp238,KNT87_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112765,KNT87_gp237,KNT87_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112766,KNT87_gp236,KNT87_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112767,KNT87_gp235,KNT87_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112768,KNT87_gp234,KNT87_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112769,KNT87_gp233,KNT87_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112770,KNT87_gp232,KNT87_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112771,KNT87_gp231,KNT87_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112772,KNT87_gp230,KNT87_gp230,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210607,-
2163633,65112773,KNT87_gp229,KNT87_gp229,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210607,-
2163633,65112774,KNT87_gp228,KNT87_gp228,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2163633,65112775,KNT87_gp227,KNT87_gp227,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163633,65112776,KNT87_gp226,KNT87_gp226,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163633,65112777,KNT87_gp225,KNT87_gp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112778,KNT87_gp224,KNT87_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112779,KNT87_gp223,KNT87_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112780,KNT87_gp222,KNT87_gp222,-,-,-,-,recombination repair and ssDNA binding protein,protein-coding,-,-,-,recombination repair and ssDNA binding protein,20210607,-
2163633,65112781,KNT87_gp221,KNT87_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112782,KNT87_gp220,KNT87_gp220,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163633,65112783,KNT87_gp219,KNT87_gp219,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2163633,65112784,KNT87_gp218,KNT87_gp218,-,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210607,-
2163633,65112785,KNT87_gp217,KNT87_gp217,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2163633,65112786,KNT87_gp216,KNT87_gp216,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2163633,65112787,KNT87_gp215,KNT87_gp215,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210607,-
2163633,65112788,KNT87_gp214,KNT87_gp214,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2163633,65112789,KNT87_gp213,KNT87_gp213,-,-,-,-,putative baseplate tail tube initiator,protein-coding,-,-,-,putative baseplate tail tube initiator,20210607,-
2163633,65112790,KNT87_gp212,KNT87_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112791,KNT87_gp211,KNT87_gp211,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2163633,65112792,KNT87_gp210,KNT87_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112793,KNT87_gp209,KNT87_gp209,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2163633,65112794,KNT87_gp208,KNT87_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112795,KNT87_gp207,KNT87_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112796,KNT87_gp206,KNT87_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112797,KNT87_gp205,KNT87_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112798,KNT87_gp204,KNT87_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112799,KNT87_gp203,KNT87_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112800,KNT87_gp202,KNT87_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112801,KNT87_gp201,KNT87_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112802,KNT87_gp200,KNT87_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112803,KNT87_gp199,KNT87_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112804,KNT87_gp198,KNT87_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112805,KNT87_gp197,KNT87_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112806,KNT87_gp196,KNT87_gp196,-,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20210607,-
2163633,65112807,KNT87_gp195,KNT87_gp195,-,-,-,-,head assembly chaperone protein,protein-coding,-,-,-,head assembly chaperone protein,20210607,-
2163633,65112808,KNT87_gp194,KNT87_gp194,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2163633,65112809,KNT87_gp193,KNT87_gp193,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210607,-
2163633,65112810,KNT87_gp192,KNT87_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112811,KNT87_gp191,KNT87_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112812,KNT87_gp190,KNT87_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112813,KNT87_gp189,KNT87_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112814,KNT87_gp188,KNT87_gp188,-,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210607,-
2163633,65112815,KNT87_gp187,KNT87_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112816,KNT87_gp186,KNT87_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112817,KNT87_gp185,KNT87_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112818,KNT87_gp184,KNT87_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112819,KNT87_gp183,KNT87_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112820,KNT87_gp182,KNT87_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112821,KNT87_gp181,KNT87_gp181,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2163633,65112822,KNT87_gp180,KNT87_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112823,KNT87_gp179,KNT87_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112824,KNT87_gp178,KNT87_gp178,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2163633,65112825,KNT87_gp177,KNT87_gp177,-,-,-,-,"ribonucleotide reductase, small chain",protein-coding,-,-,-,"ribonucleotide reductase, small chain",20210607,-
2163633,65112826,KNT87_gp176,KNT87_gp176,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2163633,65112827,KNT87_gp175,KNT87_gp175,-,-,-,-,"ribonucleotide reductase, barrel domain",protein-coding,-,-,-,"ribonucleotide reductase, barrel domain",20210607,-
2163633,65112828,KNT87_gp174,KNT87_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112829,KNT87_gp173,KNT87_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112830,KNT87_gp172,KNT87_gp172,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2163633,65112831,KNT87_gp171,KNT87_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112832,KNT87_gp170,KNT87_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112833,KNT87_gp169,KNT87_gp169,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2163633,65112834,KNT87_gp168,KNT87_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112835,KNT87_gp167,KNT87_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112836,KNT87_gp166,KNT87_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112837,KNT87_gp165,KNT87_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112838,KNT87_gp164,KNT87_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112839,KNT87_gp163,KNT87_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112840,KNT87_gp162,KNT87_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112841,KNT87_gp161,KNT87_gp161,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210607,-
2163633,65112842,KNT87_gp160,KNT87_gp160,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2163633,65112843,KNT87_gp159,KNT87_gp159,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2163633,65112844,KNT87_gp158,KNT87_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112845,KNT87_gp157,KNT87_gp157,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210607,-
2163633,65112846,KNT87_gp156,KNT87_gp156,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2163633,65112847,KNT87_gp155,KNT87_gp155,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210607,-
2163633,65112848,KNT87_gp154,KNT87_gp154,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2163633,65112849,KNT87_gp153,KNT87_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112850,KNT87_gp152,KNT87_gp152,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2163633,65112851,KNT87_gp151,KNT87_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112852,KNT87_gp150,KNT87_gp150,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210607,-
2163633,65112853,KNT87_gp149,KNT87_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112854,KNT87_gp148,KNT87_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112855,KNT87_gp147,KNT87_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112856,KNT87_gp146,KNT87_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112857,KNT87_gp145,KNT87_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112858,KNT87_gp144,KNT87_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112859,KNT87_gp143,KNT87_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112860,KNT87_gp142,KNT87_gp142,-,-,-,-,"transcription factor MotA, activation domain",protein-coding,-,-,-,"transcription factor MotA, activation domain",20210607,-
2163633,65112861,KNT87_gp141,KNT87_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112862,KNT87_gp140,KNT87_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112863,KNT87_gp139,KNT87_gp139,-,-,-,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20210607,-
2163633,65112864,KNT87_gp138,KNT87_gp138,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210607,-
2163633,65112865,KNT87_gp137,KNT87_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112866,KNT87_gp136,KNT87_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112867,KNT87_gp135,KNT87_gp135,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2163633,65112868,KNT87_gp134,KNT87_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112869,KNT87_gp133,KNT87_gp133,-,-,-,-,mRNA endoribonuclease,protein-coding,-,-,-,mRNA endoribonuclease,20210607,-
2163633,65112870,KNT87_gp132,KNT87_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112871,KNT87_gp131,KNT87_gp131,-,-,-,-,DNA endonuclease,protein-coding,-,-,-,DNA endonuclease,20210607,-
2163633,65112872,KNT87_gp130,KNT87_gp130,-,-,-,-,rIIB lysis inhibitor,protein-coding,-,-,-,rIIB lysis inhibitor,20210607,-
2163633,65242757,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
