#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1883366,30306292,BOW87_gp002,BOW87_gp002,C421010_002,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20200910,-
1883366,30306476,BOW87_gp072,BOW87_gp072,C421010_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306477,BOW87_gp071,BOW87_gp071,C421010_187,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1883366,30306478,BOW87_gp070,BOW87_gp070,C421010_188,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20201221,-
1883366,30306479,BOW87_gp069,BOW87_gp069,C421010_189,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,20200910,-
1883366,30306480,BOW87_gp068,BOW87_gp068,C421010_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306481,BOW87_gp067,BOW87_gp067,C421010_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306482,BOW87_gp066,BOW87_gp066,C421010_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306483,BOW87_gp065,BOW87_gp065,C421010_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306484,BOW87_gp064,BOW87_gp064,C421010_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306485,BOW87_gp063,BOW87_gp063,C421010_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306486,BOW87_gp062,BOW87_gp062,C421010_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306487,BOW87_gp061,BOW87_gp061,C421010_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306488,BOW87_gp060,BOW87_gp060,C421010_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306489,BOW87_gp059,BOW87_gp059,C421010_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306490,BOW87_gp058,BOW87_gp058,C421010_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306491,BOW87_gp057,BOW87_gp057,C421010_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306492,BOW87_gp056,BOW87_gp056,C421010_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306493,BOW87_gp055,BOW87_gp055,C421010_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306494,BOW87_gp054,BOW87_gp054,C421010_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306495,BOW87_gp053,BOW87_gp053,C421010_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306496,BOW87_gt007,BOW87_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306497,BOW87_gp051,BOW87_gp051,C421010_207,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200910,-
1883366,30306498,BOW87_gt009,BOW87_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306499,BOW87_gp049,BOW87_gp049,C421010_209,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1883366,30306500,BOW87_gp048,BOW87_gp048,C421010_210,-,-,-,PhDYefM tox-ant domain protein,protein-coding,-,-,-,PhDYefM tox-ant domain protein,20200910,-
1883366,30306501,BOW87_gp047,BOW87_gp047,C421010_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306502,BOW87_gp046,BOW87_gp046,C421010_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306503,BOW87_gp045,BOW87_gp045,C421010_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306504,BOW87_gt010,BOW87_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306505,BOW87_gp001,BOW87_gp001,C421010_001,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20201221,-
1883366,30306506,BOW87_gp043,BOW87_gp043,C421010_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306507,BOW87_gp042,BOW87_gp042,C421010_216,-,-,-,high-light inducible protein,protein-coding,-,-,-,high-light inducible protein,20200910,-
1883366,30306508,BOW87_gp041,BOW87_gp041,C421010_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306509,BOW87_gp040,BOW87_gp040,C421010_218,-,-,-,high-light inducible protein,protein-coding,-,-,-,high-light inducible protein,20201221,-
1883366,30306510,BOW87_gp039,BOW87_gp039,C421010_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306511,BOW87_gp038,BOW87_gp038,C421010_220,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20201221,-
1883366,30306512,BOW87_gp037,BOW87_gp037,C421010_221,-,-,-,photosystem II protein D2,protein-coding,-,-,-,photosystem II protein D2,20201221,-
1883366,30306513,BOW87_gp036,BOW87_gp036,C421010_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306514,BOW87_gp035,BOW87_gp035,C421010_223,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1883366,30306515,BOW87_gp034,BOW87_gp034,C421010_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306516,BOW87_gp033,BOW87_gp033,C421010_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306517,BOW87_gp032,BOW87_gp032,C421010_226,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20201221,-
1883366,30306518,BOW87_gp031,BOW87_gp031,C421010_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306519,BOW87_gp030,BOW87_gp030,C421010_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306520,BOW87_gp029,BOW87_gp029,C421010_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306521,BOW87_gp028,BOW87_gp028,C421010_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306522,BOW87_gp027,BOW87_gp027,C421010_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306523,BOW87_gp026,BOW87_gp026,C421010_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306524,BOW87_gp025,BOW87_gp025,C421010_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306525,BOW87_gp024,BOW87_gp024,C421010_234,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1883366,30306526,BOW87_gp023,BOW87_gp023,C421010_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306527,BOW87_gp022,BOW87_gp022,C421010_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306528,BOW87_gp021,BOW87_gp021,C421010_237,-,-,-,PhoH,protein-coding,-,-,-,PhoH,20201221,-
1883366,30306529,BOW87_gp020,BOW87_gp020,C421010_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306530,BOW87_gp019,BOW87_gp019,C421010_239,-,-,-,late promoter transcriptional accessory protein,protein-coding,-,-,-,late promoter transcriptional accessory protein,20201221,-
1883366,30306531,BOW87_gp018,BOW87_gp018,C421010_240,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20201221,-
1883366,30306532,BOW87_gp240,BOW87_gp240,C421010_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306533,BOW87_gt003,BOW87_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306534,BOW87_gp238,BOW87_gp238,C421010_020,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20201221,-
1883366,30306535,BOW87_gt005,BOW87_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306536,BOW87_gp237,BOW87_gp237,C421010_021,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1883366,30306537,BOW87_gp081,BOW87_gp081,C421010_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306538,BOW87_gt008,BOW87_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306539,BOW87_gp052,BOW87_gp052,C421010_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306540,BOW87_gp050,BOW87_gp050,C421010_208,-,-,-,transaldolase,protein-coding,-,-,-,transaldolase,20201221,-
1883366,30306541,BOW87_gp044,BOW87_gp044,C421010_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30316009,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200629,-
