#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047,9923519,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Actinomyces dentocariosus; Nocardia dentocariosus; Nocardia salivae; Rothia denticariosa.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20150424,-
2047,32321909,ES20_RS08575,ES20_RS08575,ES20_08815,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321911,ES20_RS08555,ES20_RS08555,ES20_08795,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321916,ES20_RS12250,ES20_RS12250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321918,ES20_RS08450,ES20_RS08450,ES20_08685,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321921,ES20_RS08415,ES20_RS08415,ES20_08650,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321927,ES20_RS08490,ES20_RS08490,ES20_08730,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321929,ES20_RS08485,ES20_RS08485,ES20_08725,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321930,ES20_RS08480,ES20_RS08480,ES20_08720,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321934,ES20_RS08300,ES20_RS08300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321935,ES20_RS08180,ES20_RS08180,ES20_08400,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321938,ES20_RS08295,ES20_RS08295,ES20_08520,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32321939,ES20_RS08460,ES20_RS08460,ES20_08700,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321940,ES20_RS08290,ES20_RS08290,ES20_08515,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321941,ES20_RS08395,ES20_RS08395,ES20_08630,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321944,ES20_RS08430,ES20_RS08430,ES20_08665,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321948,ES20_RS08500,ES20_RS08500,ES20_08740,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321949,ES20_RS08505,ES20_RS08505,ES20_08745,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321953,ES20_RS08385,ES20_RS08385,ES20_08620,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321956,ES20_RS08360,ES20_RS08360,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321958,ES20_RS08445,ES20_RS08445,ES20_08680,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321960,ES20_RS08600,ES20_RS08600,ES20_08840,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321963,ES20_RS08350,ES20_RS08350,ES20_08575,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321968,ES20_RS08645,ES20_RS08645,ES20_08890,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321973,ES20_RS08245,ES20_RS08245,ES20_08470,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321975,ES20_RS08635,ES20_RS08635,ES20_08875,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321977,ES20_RS08605,ES20_RS08605,ES20_08845,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321983,ES20_RS08330,ES20_RS08330,ES20_08555,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321986,ES20_RS08285,ES20_RS08285,ES20_08510,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170906,-
2047,32321993,ES20_RS08195,ES20_RS08195,ES20_08415,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321995,ES20_RS08120,ES20_RS08120,ES20_08340,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321998,ES20_RS07760,ES20_RS07760,ES20_07965,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322001,ES20_RS08110,ES20_RS08110,ES20_08330,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322006,ES20_RS08105,ES20_RS08105,ES20_08325,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322011,ES20_RS08080,ES20_RS08080,ES20_08300,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322013,ES20_RS08155,ES20_RS08155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322014,ES20_RS07935,ES20_RS07935,ES20_08145,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322015,ES20_RS08170,ES20_RS08170,ES20_08390,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32322016,ES20_RS08100,ES20_RS08100,ES20_08320,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322017,ES20_RS08150,ES20_RS08150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322018,ES20_RS07930,ES20_RS07930,ES20_08140,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322021,ES20_RS08095,ES20_RS08095,ES20_08315,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322022,ES20_RS07790,ES20_RS07790,ES20_07995,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322023,ES20_RS07765,ES20_RS07765,ES20_07970,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322024,ES20_RS07735,ES20_RS07735,ES20_07940,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322032,ES20_RS08115,ES20_RS08115,ES20_08335,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322043,ES20_RS07900,ES20_RS07900,ES20_08105,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322044,ES20_RS07905,ES20_RS07905,ES20_08115,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322051,ES20_RS07970,ES20_RS07970,ES20_08180,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322052,ES20_RS08030,ES20_RS08030,ES20_08245,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322060,ES20_RS08035,ES20_RS08035,ES20_08250,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322061,ES20_RS07995,ES20_RS07995,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322062,ES20_RS08050,ES20_RS08050,ES20_08265,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322063,ES20_RS08040,ES20_RS08040,ES20_08255,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322064,ES20_RS08045,ES20_RS08045,ES20_08260,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322065,ES20_RS08005,ES20_RS08005,ES20_08215,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322066,ES20_RS08085,ES20_RS08085,ES20_08305,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322067,ES20_RS08090,ES20_RS08090,ES20_08310,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322074,ES20_RS08075,ES20_RS08075,ES20_08295,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322075,ES20_RS07880,ES20_RS07880,ES20_08085,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322076,ES20_RS07895,ES20_RS07895,ES20_08100,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322077,ES20_RS07985,ES20_RS07985,ES20_08195,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322079,ES20_RS08145,ES20_RS08145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
2047,32322083,ES20_RS07945,ES20_RS07945,ES20_08155,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322088,ES20_RS07515,ES20_RS07515,ES20_07720,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322089,ES20_RS12205,ES20_RS12205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322091,ES20_RS07510,ES20_RS07510,ES20_07715,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322096,ES20_RS07525,ES20_RS07525,ES20_07735,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322100,ES20_RS07260,ES20_RS07260,ES20_07450,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322101,ES20_RS07370,ES20_RS07370,ES20_07560,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322102,ES20_RS07400,ES20_RS07400,ES20_07595,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32322104,ES20_RS07320,ES20_RS07320,ES20_07510,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322105,ES20_RS07395,ES20_RS07395,ES20_07585,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322106,ES20_RS12165,ES20_RS12165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322107,ES20_RS07405,ES20_RS07405,ES20_07600,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322108,ES20_RS07485,ES20_RS07485,ES20_07690,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322110,ES20_RS07455,ES20_RS07455,ES20_07650,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322111,ES20_RS07415,ES20_RS07415,ES20_07610,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322113,ES20_RS07375,ES20_RS07375,ES20_07565,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322114,ES20_RS07385,ES20_RS07385,ES20_07575,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322117,ES20_RS07365,ES20_RS07365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322118,ES20_RS07280,ES20_RS07280,ES20_07470,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322121,ES20_RS07245,ES20_RS07245,ES20_07435,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322126,ES20_RS07210,ES20_RS07210,ES20_07400,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322129,ES20_RS07220,ES20_RS07220,ES20_07410,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322130,ES20_RS07345,ES20_RS07345,ES20_07535,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322132,ES20_RS07340,ES20_RS07340,ES20_07530,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322137,ES20_RS07350,ES20_RS07350,ES20_07540,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322138,ES20_RS07380,ES20_RS07380,ES20_07570,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32322139,ES20_RS07315,ES20_RS07315,ES20_07505,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322142,ES20_RS07480,ES20_RS07480,ES20_07685,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322144,ES20_RS07505,ES20_RS07505,ES20_07710,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322145,ES20_RS07445,ES20_RS07445,ES20_07640,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322146,ES20_RS07390,ES20_RS07390,ES20_07580,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32322152,ES20_RS07440,ES20_RS07440,ES20_07635,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322153,ES20_RS07435,ES20_RS07435,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322154,ES20_RS07580,ES20_RS07580,ES20_07785,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322156,ES20_RS07470,ES20_RS07470,ES20_07665,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322157,ES20_RS12235,ES20_RS12235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322158,ES20_RS07560,ES20_RS07560,ES20_07765,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322159,ES20_RS07585,ES20_RS07585,ES20_07790,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322160,ES20_RS07555,ES20_RS07555,ES20_07760,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322163,ES20_RS07575,ES20_RS07575,ES20_07780,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322164,ES20_RS07540,ES20_RS07540,ES20_07750,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322166,ES20_RS07625,ES20_RS07625,ES20_07830,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322168,ES20_RS07630,ES20_RS07630,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322176,ES20_RS12200,ES20_RS12200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322178,ES20_RS07285,ES20_RS07285,ES20_07475,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322182,ES20_RS07675,ES20_RS07675,ES20_07880,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322184,ES20_RS07670,ES20_RS07670,ES20_07875,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322185,ES20_RS11840,ES20_RS11840,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322190,ES20_RS07275,ES20_RS07275,ES20_07465,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322191,ES20_RS07335,ES20_RS07335,ES20_07525,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322192,ES20_RS07355,ES20_RS07355,ES20_07545,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322193,ES20_RS07270,ES20_RS07270,ES20_07460,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322194,ES20_RS07325,ES20_RS07325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322195,ES20_RS07460,ES20_RS07460,ES20_07655,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322197,ES20_RS07590,ES20_RS07590,ES20_07795,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322208,ES20_RS07025,ES20_RS07025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322211,ES20_RS07020,ES20_RS07020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322214,ES20_RS07030,ES20_RS07030,ES20_07210,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322219,ES20_RS11835,ES20_RS11835,ES20_07190,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322228,ES20_RS07085,ES20_RS07085,ES20_07265,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322232,ES20_RS06940,ES20_RS06940,ES20_07115,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322233,ES20_RS07080,ES20_RS07080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322234,ES20_RS07050,ES20_RS07050,ES20_07230,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
2047,32322236,ES20_RS07090,ES20_RS07090,ES20_07270,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322249,ES20_RS07125,ES20_RS07125,ES20_07305,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322251,ES20_RS06640,ES20_RS06640,ES20_06790,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322252,ES20_RS11805,ES20_RS11805,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322253,ES20_RS06610,ES20_RS06610,ES20_06755,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322255,ES20_RS12125,ES20_RS12125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322256,ES20_RS06385,ES20_RS06385,ES20_06520,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322258,ES20_RS06290,ES20_RS06290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322260,ES20_RS06910,ES20_RS06910,ES20_07085,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322261,ES20_RS06705,ES20_RS06705,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322262,ES20_RS06915,ES20_RS06915,ES20_07090,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32322263,ES20_RS06615,ES20_RS06615,ES20_06760,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322265,ES20_RS06920,ES20_RS06920,ES20_07095,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322267,ES20_RS06890,ES20_RS06890,ES20_07065,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322270,ES20_RS06645,ES20_RS06645,ES20_06795,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322271,ES20_RS06900,ES20_RS06900,ES20_07075,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322272,ES20_RS06295,ES20_RS06295,ES20_06425,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322273,ES20_RS06630,ES20_RS06630,ES20_06780,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322275,ES20_RS12140,ES20_RS12140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322276,ES20_RS06625,ES20_RS06625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322278,ES20_RS12135,ES20_RS12135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322280,ES20_RS06305,ES20_RS06305,ES20_06440,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322284,ES20_RS06370,ES20_RS06370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32322287,ES20_RS06880,ES20_RS06880,ES20_07055,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322292,ES20_RS06365,ES20_RS06365,ES20_06500,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322296,ES20_RS06790,ES20_RS06790,ES20_06950,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322298,ES20_RS06685,ES20_RS06685,ES20_06840,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322300,ES20_RS11825,ES20_RS11825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322301,ES20_RS06665,ES20_RS06665,ES20_06815,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
2047,32322302,ES20_RS06660,ES20_RS06660,ES20_06810,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322304,ES20_RS06680,ES20_RS06680,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322306,ES20_RS06505,ES20_RS06505,ES20_06640,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322308,ES20_RS06695,ES20_RS06695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322309,ES20_RS11820,ES20_RS11820,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322310,ES20_RS11810,ES20_RS11810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20190525,-
2047,32322312,ES20_RS06690,ES20_RS06690,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322314,ES20_RS11815,ES20_RS11815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322316,ES20_RS06390,ES20_RS06390,ES20_06525,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322319,ES20_RS06750,ES20_RS06750,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322320,ES20_RS06460,ES20_RS06460,ES20_06595,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322323,ES20_RS06745,ES20_RS06745,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322325,ES20_RS06725,ES20_RS06725,ES20_06885,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322330,ES20_RS06500,ES20_RS06500,ES20_06635,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
2047,32322336,ES20_RS06485,ES20_RS06485,ES20_06620,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322337,ES20_RS06785,ES20_RS06785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322339,ES20_RS06825,ES20_RS06825,ES20_06995,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32322340,ES20_RS06535,ES20_RS06535,ES20_06675,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322341,ES20_RS06575,ES20_RS06575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322347,ES20_RS06815,ES20_RS06815,ES20_06985,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322348,ES20_RS06835,ES20_RS06835,ES20_07005,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322350,ES20_RS06620,ES20_RS06620,ES20_06770,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322351,ES20_RS06840,ES20_RS06840,ES20_07015,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322352,ES20_RS06810,ES20_RS06810,ES20_06980,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322353,ES20_RS06540,ES20_RS06540,ES20_06680,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322354,ES20_RS06850,ES20_RS06850,ES20_07025,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322356,ES20_RS11800,ES20_RS11800,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322358,ES20_RS06865,ES20_RS06865,ES20_07040,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322360,ES20_RS11795,ES20_RS11795,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322361,ES20_RS06590,ES20_RS06590,ES20_06735,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322363,ES20_RS12130,ES20_RS12130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322365,ES20_RS11790,ES20_RS11790,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32322366,ES20_RS06580,ES20_RS06580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322369,ES20_RS06715,ES20_RS06715,ES20_06875,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322371,ES20_RS06495,ES20_RS06495,ES20_06630,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322374,ES20_RS06490,ES20_RS06490,ES20_06625,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322377,ES20_RS06830,ES20_RS06830,ES20_07000,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322382,ES20_RS12115,ES20_RS12115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322387,ES20_RS05850,ES20_RS05850,ES20_05955,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322391,ES20_RS05845,ES20_RS05845,ES20_05950,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322397,ES20_RS06165,ES20_RS06165,ES20_06285,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322400,ES20_RS06255,ES20_RS06255,ES20_06385,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32322403,ES20_RS05570,ES20_RS05570,ES20_05665,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322412,ES20_RS06260,ES20_RS06260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322414,ES20_RS06200,ES20_RS06200,ES20_06320,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322423,ES20_RS12120,ES20_RS12120,ES20_06255,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32322426,ES20_RS05750,ES20_RS05750,ES20_05845,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322428,ES20_RS06125,ES20_RS06125,ES20_06240,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322433,ES20_RS06170,ES20_RS06170,ES20_06290,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322438,ES20_RS06205,ES20_RS06205,ES20_06325,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322442,ES20_RS05575,ES20_RS05575,ES20_05670,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322450,ES20_RS06180,ES20_RS06180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322454,ES20_RS05205,ES20_RS05205,ES20_05290,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322456,ES20_RS05665,ES20_RS05665,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322463,ES20_RS06175,ES20_RS06175,ES20_06295,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322467,ES20_RS05670,ES20_RS05670,ES20_05765,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32322472,ES20_RS05560,ES20_RS05560,ES20_05655,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32322475,ES20_RS11785,ES20_RS11785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
