#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64694612,F5147DRAFT_607186,F5147DRAFT_607186,-,-,Unknown,-,ribosomal protein S25,protein-coding,-,-,-,ribosomal protein S25,20210605,-
1912936,64694613,F5147DRAFT_607215,F5147DRAFT_607215,-,-,Unknown,-,"MBOAT, membrane-bound O-acyltransferase family-domain-containing protein",protein-coding,-,-,-,"MBOAT, membrane-bound O-acyltransferase family-domain-containing protein",20210605,-
1912936,64694614,F5147DRAFT_607255,F5147DRAFT_607255,-,-,Unknown,-,RAM signaling pathway protein-domain-containing protein,protein-coding,-,-,-,RAM signaling pathway protein-domain-containing protein,20210605,-
1912936,64694615,F5147DRAFT_607264,F5147DRAFT_607264,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694616,F5147DRAFT_607346,F5147DRAFT_607346,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694617,F5147DRAFT_607371,F5147DRAFT_607371,-,-,Unknown,-,glycosyltransferase family 57 protein,protein-coding,-,-,-,glycosyltransferase family 57 protein,20210605,-
1912936,64694618,F5147DRAFT_607391,F5147DRAFT_607391,-,-,Unknown,-,UNC-like C-terminal-domain-containing protein,protein-coding,-,-,-,UNC-like C-terminal-domain-containing protein,20210605,-
1912936,64694619,F5147DRAFT_607426,F5147DRAFT_607426,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694620,F5147DRAFT_607532,F5147DRAFT_607532,-,-,Unknown,-,isoprenoid synthase domain-containing protein,protein-coding,-,-,-,isoprenoid synthase domain-containing protein,20210605,-
1912936,64694621,F5147DRAFT_60759,F5147DRAFT_60759,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694622,F5147DRAFT_607604,F5147DRAFT_607604,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64694623,F5147DRAFT_607607,F5147DRAFT_607607,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694624,F5147DRAFT_607701,F5147DRAFT_607701,-,-,Unknown,-,autophagy-related protein,protein-coding,-,-,-,autophagy-related protein,20210605,-
1912936,64694625,F5147DRAFT_607772,F5147DRAFT_607772,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210605,-
1912936,64694626,F5147DRAFT_607850,F5147DRAFT_607850,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694627,F5147DRAFT_607921,F5147DRAFT_607921,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694628,F5147DRAFT_607943,F5147DRAFT_607943,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694629,F5147DRAFT_607973,F5147DRAFT_607973,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694630,F5147DRAFT_607986,F5147DRAFT_607986,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64694631,F5147DRAFT_608036,F5147DRAFT_608036,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694632,F5147DRAFT_608061,F5147DRAFT_608061,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64694633,F5147DRAFT_60813,F5147DRAFT_60813,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694634,F5147DRAFT_608154,F5147DRAFT_608154,-,-,Unknown,-,Ion transport protein-domain-containing protein,protein-coding,-,-,-,Ion transport protein-domain-containing protein,20210605,-
1912936,64694635,F5147DRAFT_608165,F5147DRAFT_608165,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694636,F5147DRAFT_608184,F5147DRAFT_608184,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694637,F5147DRAFT_608215,F5147DRAFT_608215,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64694638,F5147DRAFT_608298,F5147DRAFT_608298,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694639,F5147DRAFT_608352,F5147DRAFT_608352,-,-,Unknown,-,PDZ-binding protein,protein-coding,-,-,-,PDZ-binding protein,20210605,-
1912936,64694640,F5147DRAFT_608370,F5147DRAFT_608370,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694641,F5147DRAFT_608378,F5147DRAFT_608378,-,-,Unknown,-,glycoside hydrolase family 31 protein,protein-coding,-,-,-,glycoside hydrolase family 31 protein,20210605,-
1912936,64694642,F5147DRAFT_608417,F5147DRAFT_608417,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694643,F5147DRAFT_608496,F5147DRAFT_608496,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694644,F5147DRAFT_608523,F5147DRAFT_608523,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694645,F5147DRAFT_608559,F5147DRAFT_608559,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694646,F5147DRAFT_608606,F5147DRAFT_608606,-,-,Unknown,-,ribonuclease III domain-containing protein,protein-coding,-,-,-,ribonuclease III domain-containing protein,20210605,-
1912936,64694647,F5147DRAFT_608627,F5147DRAFT_608627,-,-,Unknown,-,Brix-domain-containing protein,protein-coding,-,-,-,Brix-domain-containing protein,20210605,-
1912936,64694648,F5147DRAFT_608630,F5147DRAFT_608630,-,-,Unknown,-,emp24/gp25L/p24 family/GOLD-domain-containing protein,protein-coding,-,-,-,emp24/gp25L/p24 family/GOLD-domain-containing protein,20210605,-
1912936,64694649,F5147DRAFT_608639,F5147DRAFT_608639,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694650,F5147DRAFT_608645,F5147DRAFT_608645,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694651,F5147DRAFT_608754,F5147DRAFT_608754,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694652,F5147DRAFT_608807,F5147DRAFT_608807,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694653,F5147DRAFT_608822,F5147DRAFT_608822,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694654,F5147DRAFT_608880,F5147DRAFT_608880,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694655,F5147DRAFT_608933,F5147DRAFT_608933,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694656,F5147DRAFT_608973,F5147DRAFT_608973,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694657,F5147DRAFT_608982,F5147DRAFT_608982,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694658,F5147DRAFT_609010,F5147DRAFT_609010,-,-,Unknown,-,pheromone A receptor-domain-containing protein,protein-coding,-,-,-,pheromone A receptor-domain-containing protein,20210605,-
1912936,64694659,F5147DRAFT_609020,F5147DRAFT_609020,-,-,Unknown,-,common central domain of tyrosinase-domain-containing protein,protein-coding,-,-,-,common central domain of tyrosinase-domain-containing protein,20210605,-
1912936,64694660,F5147DRAFT_609056,F5147DRAFT_609056,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694661,F5147DRAFT_609078,F5147DRAFT_609078,-,-,Unknown,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210605,-
1912936,64694662,F5147DRAFT_609118,F5147DRAFT_609118,-,-,Unknown,-,Cerato-platanin,protein-coding,-,-,-,Cerato-platanin,20210605,-
1912936,64694663,F5147DRAFT_609141,F5147DRAFT_609141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694664,F5147DRAFT_609249,F5147DRAFT_609249,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694665,F5147DRAFT_609375,F5147DRAFT_609375,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694666,F5147DRAFT_609380,F5147DRAFT_609380,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694667,F5147DRAFT_609386,F5147DRAFT_609386,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694668,F5147DRAFT_609449,F5147DRAFT_609449,-,-,Unknown,-,chaperonin GroL,protein-coding,-,-,-,chaperonin GroL,20210605,-
1912936,64694669,F5147DRAFT_609530,F5147DRAFT_609530,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694670,F5147DRAFT_609586,F5147DRAFT_609586,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694671,F5147DRAFT_609608,F5147DRAFT_609608,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694672,F5147DRAFT_609750,F5147DRAFT_609750,-,-,Unknown,-,plant expansin,protein-coding,-,-,-,plant expansin,20210605,-
1912936,64694673,F5147DRAFT_60977,F5147DRAFT_60977,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694674,F5147DRAFT_609822,F5147DRAFT_609822,-,-,Unknown,-,"DNA repair protein, SNF2 family",protein-coding,-,-,-,"DNA repair protein, SNF2 family",20210605,-
1912936,64694675,F5147DRAFT_610035,F5147DRAFT_610035,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694676,F5147DRAFT_610041,F5147DRAFT_610041,-,-,Unknown,-,N-terminal nucleophile aminohydrolase,protein-coding,-,-,-,N-terminal nucleophile aminohydrolase,20210605,-
1912936,64694677,F5147DRAFT_610089,F5147DRAFT_610089,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64694678,F5147DRAFT_610165,F5147DRAFT_610165,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694679,F5147DRAFT_610187,F5147DRAFT_610187,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694680,F5147DRAFT_610226,F5147DRAFT_610226,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912936,64694681,F5147DRAFT_610388,F5147DRAFT_610388,-,-,Unknown,-,Mad3/BUB1 homology region 1-domain-containing protein,protein-coding,-,-,-,Mad3/BUB1 homology region 1-domain-containing protein,20210605,-
1912936,64694682,F5147DRAFT_610407,F5147DRAFT_610407,-,-,Unknown,-,armadillo-type protein,protein-coding,-,-,-,armadillo-type protein,20210605,-
1912936,64694683,F5147DRAFT_610444,F5147DRAFT_610444,-,-,Unknown,-,XFP N-terminal domain-containing protein,protein-coding,-,-,-,XFP N-terminal domain-containing protein,20210605,-
1912936,64694684,F5147DRAFT_610451,F5147DRAFT_610451,-,-,Unknown,-,C5-sterol desaturase,protein-coding,-,-,-,C5-sterol desaturase,20210605,-
1912936,64694685,F5147DRAFT_610653,F5147DRAFT_610653,-,-,Unknown,-,FAD binding domain-containing protein,protein-coding,-,-,-,FAD binding domain-containing protein,20210605,-
1912936,64694686,F5147DRAFT_610671,F5147DRAFT_610671,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694687,F5147DRAFT_610812,F5147DRAFT_610812,-,-,Unknown,-,RTC4-like domain-containing protein,protein-coding,-,-,-,RTC4-like domain-containing protein,20210605,-
1912936,64694688,F5147DRAFT_610838,F5147DRAFT_610838,-,-,Unknown,-,histone-fold-containing protein,protein-coding,-,-,-,histone-fold-containing protein,20210511,-
1912936,64694689,F5147DRAFT_610978,F5147DRAFT_610978,-,-,Unknown,-,EAP30/Vps36 family-domain-containing protein,protein-coding,-,-,-,EAP30/Vps36 family-domain-containing protein,20210605,-
1912936,64694690,F5147DRAFT_611030,F5147DRAFT_611030,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694691,F5147DRAFT_611135,F5147DRAFT_611135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694692,F5147DRAFT_611177,F5147DRAFT_611177,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694693,F5147DRAFT_611240,F5147DRAFT_611240,-,-,Unknown,-,"exoribonuclease, exosome component 4",protein-coding,-,-,-,"exoribonuclease, exosome component 4",20210605,-
1912936,64694694,F5147DRAFT_611360,F5147DRAFT_611360,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694695,F5147DRAFT_611448,F5147DRAFT_611448,-,-,Unknown,-,ATPase assembly factor ATP10,protein-coding,-,-,-,ATPase assembly factor ATP10,20210605,-
1912936,64694696,F5147DRAFT_611484,F5147DRAFT_611484,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694697,F5147DRAFT_611502,F5147DRAFT_611502,-,-,Unknown,-,emp24/gp25L/p24 family/GOLD-domain-containing protein,protein-coding,-,-,-,emp24/gp25L/p24 family/GOLD-domain-containing protein,20210605,-
1912936,64694698,F5147DRAFT_611623,F5147DRAFT_611623,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694699,F5147DRAFT_611633,F5147DRAFT_611633,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694700,F5147DRAFT_611700,F5147DRAFT_611700,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694701,F5147DRAFT_611714,F5147DRAFT_611714,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64694702,F5147DRAFT_611730,F5147DRAFT_611730,-,-,Unknown,-,Sm-like ribonucleoprotein,protein-coding,-,-,-,Sm-like ribonucleoprotein,20210605,-
1912936,64694703,F5147DRAFT_611793,F5147DRAFT_611793,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694704,F5147DRAFT_611797,F5147DRAFT_611797,-,-,Unknown,-,proteasome maturation factor UMP1-domain-containing protein,protein-coding,-,-,-,proteasome maturation factor UMP1-domain-containing protein,20210605,-
1912936,64694705,F5147DRAFT_611864,F5147DRAFT_611864,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694706,F5147DRAFT_611884,F5147DRAFT_611884,-,-,Unknown,-,IMP dehydrogenase/GMP reductase,protein-coding,-,-,-,IMP dehydrogenase/GMP reductase,20210605,-
1912936,64694707,F5147DRAFT_611886,F5147DRAFT_611886,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694708,F5147DRAFT_612040,F5147DRAFT_612040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694709,F5147DRAFT_612059,F5147DRAFT_612059,-,-,Unknown,-,lectin 2b,protein-coding,-,-,-,lectin 2b,20210605,-
1912936,64694710,F5147DRAFT_612074,F5147DRAFT_612074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694711,F5147DRAFT_612119,F5147DRAFT_612119,-,-,Unknown,-,O-methyltransferase-domain-containing protein,protein-coding,-,-,-,O-methyltransferase-domain-containing protein,20210605,-
1912936,64694712,F5147DRAFT_612149,F5147DRAFT_612149,-,-,Unknown,-,Longin-like domain-containing protein,protein-coding,-,-,-,Longin-like domain-containing protein,20210605,-
1912936,64694713,F5147DRAFT_612178,F5147DRAFT_612178,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694714,F5147DRAFT_61218,F5147DRAFT_61218,-,-,Unknown,-,Sec1-like protein,protein-coding,-,-,-,Sec1-like protein,20210605,-
1912936,64694715,F5147DRAFT_612290,F5147DRAFT_612290,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694716,F5147DRAFT_612308,F5147DRAFT_612308,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694717,F5147DRAFT_612324,F5147DRAFT_612324,-,-,Unknown,-,carbohydrate esterase family 8 protein,protein-coding,-,-,-,carbohydrate esterase family 8 protein,20210605,-
1912936,64694718,F5147DRAFT_612329,F5147DRAFT_612329,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694719,F5147DRAFT_612359,F5147DRAFT_612359,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694720,F5147DRAFT_612440,F5147DRAFT_612440,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694721,F5147DRAFT_612458,F5147DRAFT_612458,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694722,F5147DRAFT_612507,F5147DRAFT_612507,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694723,F5147DRAFT_612514,F5147DRAFT_612514,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694724,F5147DRAFT_612533,F5147DRAFT_612533,-,-,Unknown,-,Chloroperoxidase,protein-coding,-,-,-,Chloroperoxidase,20210605,-
1912936,64694725,F5147DRAFT_612583,F5147DRAFT_612583,-,-,Unknown,-,FAD-linked oxidase-like protein,protein-coding,-,-,-,FAD-linked oxidase-like protein,20210605,-
1912936,64694726,F5147DRAFT_612588,F5147DRAFT_612588,-,-,Unknown,-,ribosomal protein L14b/L23e,protein-coding,-,-,-,ribosomal protein L14b/L23e,20210605,-
1912936,64694727,F5147DRAFT_612627,F5147DRAFT_612627,-,-,Unknown,-,vesicular-fusion protein SEC17,protein-coding,-,-,-,vesicular-fusion protein SEC17,20210605,-
1912936,64694728,F5147DRAFT_612683,F5147DRAFT_612683,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694729,F5147DRAFT_612740,F5147DRAFT_612740,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694730,F5147DRAFT_612902,F5147DRAFT_612902,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694731,F5147DRAFT_612942,F5147DRAFT_612942,-,-,Unknown,-,growth factor receptor domain-containing protein,protein-coding,-,-,-,growth factor receptor domain-containing protein,20210605,-
1912936,64694732,F5147DRAFT_612976,F5147DRAFT_612976,-,-,Unknown,-,GMC oxidoreductase-domain-containing protein,protein-coding,-,-,-,GMC oxidoreductase-domain-containing protein,20210605,-
1912936,64694733,F5147DRAFT_612991,F5147DRAFT_612991,-,-,Unknown,-,Cerato-platanin,protein-coding,-,-,-,Cerato-platanin,20210605,-
1912936,64694734,F5147DRAFT_613026,F5147DRAFT_613026,-,-,Unknown,-,Per1-like protein,protein-coding,-,-,-,Per1-like protein,20210605,-
1912936,64694735,F5147DRAFT_613064,F5147DRAFT_613064,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694736,F5147DRAFT_613129,F5147DRAFT_613129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694737,F5147DRAFT_613135,F5147DRAFT_613135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694738,F5147DRAFT_613219,F5147DRAFT_613219,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694739,F5147DRAFT_613333,F5147DRAFT_613333,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694740,F5147DRAFT_613462,F5147DRAFT_613462,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210605,-
1912936,64694741,F5147DRAFT_613527,F5147DRAFT_613527,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694742,F5147DRAFT_613553,F5147DRAFT_613553,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694743,F5147DRAFT_613595,F5147DRAFT_613595,-,-,Unknown,-,putative methyltransferase-domain-containing protein,protein-coding,-,-,-,putative methyltransferase-domain-containing protein,20210605,-
1912936,64694744,F5147DRAFT_613619,F5147DRAFT_613619,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694745,F5147DRAFT_613730,F5147DRAFT_613730,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694746,F5147DRAFT_613734,F5147DRAFT_613734,-,-,Unknown,-,quinon protein alcohol dehydrogenase-like superfamily,protein-coding,-,-,-,quinon protein alcohol dehydrogenase-like superfamily,20210605,-
1912936,64694747,F5147DRAFT_613746,F5147DRAFT_613746,-,-,Unknown,-,"COX5A, subunit VA of cytochrome c oxidase",protein-coding,-,-,-,"COX5A, subunit VA of cytochrome c oxidase",20210605,-
1912936,64694748,F5147DRAFT_613871,F5147DRAFT_613871,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694749,F5147DRAFT_613975,F5147DRAFT_613975,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694750,F5147DRAFT_613981,F5147DRAFT_613981,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694751,F5147DRAFT_613982,F5147DRAFT_613982,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694752,F5147DRAFT_614023,F5147DRAFT_614023,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210605,-
1912936,64694753,F5147DRAFT_614104,F5147DRAFT_614104,-,-,Unknown,-,glycosyltransferase family 39 protein,protein-coding,-,-,-,glycosyltransferase family 39 protein,20210605,-
1912936,64694754,F5147DRAFT_614245,F5147DRAFT_614245,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694755,F5147DRAFT_614278,F5147DRAFT_614278,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694756,F5147DRAFT_614282,F5147DRAFT_614282,-,-,Unknown,-,vacuolar DHA amino acid exporter,protein-coding,-,-,-,vacuolar DHA amino acid exporter,20210605,-
1912936,64694757,F5147DRAFT_614300,F5147DRAFT_614300,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64694758,F5147DRAFT_614391,F5147DRAFT_614391,-,-,Unknown,-,actin-related protein Arp6,protein-coding,-,-,-,actin-related protein Arp6,20210605,-
1912936,64694759,F5147DRAFT_614412,F5147DRAFT_614412,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694760,F5147DRAFT_614417,F5147DRAFT_614417,-,-,Unknown,-,Sodium/hydrogen exchanger family-domain-containing protein,protein-coding,-,-,-,Sodium/hydrogen exchanger family-domain-containing protein,20210605,-
1912936,64694761,F5147DRAFT_614444,F5147DRAFT_614444,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912936,64694762,F5147DRAFT_614565,F5147DRAFT_614565,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694763,F5147DRAFT_614611,F5147DRAFT_614611,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694764,F5147DRAFT_614620,F5147DRAFT_614620,-,-,Unknown,-,VIT family-domain-containing protein,protein-coding,-,-,-,VIT family-domain-containing protein,20210605,-
1912936,64694765,F5147DRAFT_614687,F5147DRAFT_614687,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694766,F5147DRAFT_614728,F5147DRAFT_614728,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20210605,-
1912936,64694767,F5147DRAFT_614790,F5147DRAFT_614790,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694768,F5147DRAFT_614836,F5147DRAFT_614836,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694769,F5147DRAFT_614849,F5147DRAFT_614849,-,-,Unknown,-,aspartate amino-transferase,protein-coding,-,-,-,aspartate amino-transferase,20210605,-
1912936,64694770,F5147DRAFT_614933,F5147DRAFT_614933,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694771,F5147DRAFT_614945,F5147DRAFT_614945,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694772,F5147DRAFT_614953,F5147DRAFT_614953,-,-,Unknown,-,MCM2/3/5 family-domain-containing protein,protein-coding,-,-,-,MCM2/3/5 family-domain-containing protein,20210605,-
1912936,64694773,F5147DRAFT_614955,F5147DRAFT_614955,-,-,Unknown,-,protein-tyrosine phosphatase-like protein,protein-coding,-,-,-,protein-tyrosine phosphatase-like protein,20210605,-
