#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1792245,29081781,Blue_002,Blue_002,-,-,-,-,PcfJ-like protein,protein-coding,-,-,-,PcfJ-like protein,20200910,-
1792245,29081997,Blue_219,Blue_219,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1792245,29081998,Blue_220,Blue_220,-,-,-,-,S-layer domain-containing protein,protein-coding,-,-,-,S-layer domain-containing protein,20200910,-
1792245,29081999,Blue_221,Blue_221,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200910,-
1792245,29082000,Blue_222,Blue_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29082001,Blue_223,Blue_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29082002,Blue_224,Blue_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29082003,Blue_225,Blue_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29082004,Blue_226,Blue_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29082005,Blue_227,Blue_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29082006,Blue_229,Blue_229,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082007,Blue_230,Blue_230,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082008,Blue_231,Blue_231,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082009,Blue_232,Blue_232,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082010,Blue_233,Blue_233,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082011,Blue_234,Blue_234,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082012,Blue_235,Blue_235,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082013,Blue_236,Blue_236,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082014,Blue_237,Blue_237,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082015,Blue_238,Blue_238,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082016,Blue_239,Blue_239,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082017,Blue_240,Blue_240,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082018,Blue_241,Blue_241,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082019,Blue_242,Blue_242,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082020,Blue_243,Blue_243,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082021,Blue_244,Blue_244,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082022,Blue_245,Blue_245,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082023,Blue_246,Blue_246,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29082024,Blue_210,Blue_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29082025,Blue_001,Blue_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29139866,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus phage Blue; Bacillus phage Deep-Blue).,other,-,-,-,-,20200513,-
