#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1131317,14011817,FV3_00158,FV3_00158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011818,FV3_00159,FV3_00159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011819,FV3_00160,FV3_00160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011820,FV3_00161,FV3_00161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011821,FV3_00162,FV3_00162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011822,FV3_00163,FV3_00163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011823,FV3_00164,FV3_00164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011824,FV3_00165,FV3_00165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011825,FV3_00166,FV3_00166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011826,FV3_00167,FV3_00167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011827,FV3_00168,FV3_00168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011828,FV3_00169,FV3_00169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131317,14011829,FV3_00170,FV3_00170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011830,FV3_00171,FV3_00171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011831,FV3_00172,FV3_00172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011832,FV3_00173,FV3_00173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011833,FV3_00174,FV3_00174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011834,FV3_00175,FV3_00175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011835,FV3_00176,FV3_00176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011836,FV3_00177,FV3_00177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011837,FV3_00178,FV3_00178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011838,FV3_00179,FV3_00179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011839,FV3_00180,FV3_00180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011840,FV3_00181,FV3_00181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011841,FV3_00182,FV3_00182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011842,FV3_00183,FV3_00183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011843,FV3_00184,FV3_00184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011844,FV3_00185,FV3_00185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011845,FV3_00186,FV3_00186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011846,FV3_00187,FV3_00187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011847,FV3_00188,FV3_00188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011848,FV3_00189,FV3_00189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011849,FV3_00190,FV3_00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011850,FV3_00191,FV3_00191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011851,FV3_00192,FV3_00192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011852,FV3_00193,FV3_00193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011853,FV3_00194,FV3_00194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011854,FV3_00195,FV3_00195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011855,FV3_00196,FV3_00196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011856,FV3_00197,FV3_00197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011857,FV3_00198,FV3_00198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011858,FV3_00199,FV3_00199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011859,FV3_00200,FV3_00200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011860,FV3_00201,FV3_00201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011861,FV3_00202,FV3_00202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011862,FV3_00203,FV3_00203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011863,FV3_00204,FV3_00204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011864,FV3_00205,FV3_00205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011865,FV3_00206,FV3_00206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011866,FV3_00207,FV3_00207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011867,FV3_00209,FV3_00209,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1131317,14011868,FV3_00210,FV3_00210,-,-,-,-,DNA replicative helicase/primase,protein-coding,-,-,-,DNA replicative helicase/primase,20200629,-
1131317,14011869,FV3_00211,FV3_00211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011870,FV3_00212,FV3_00212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011871,FV3_00213,FV3_00213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011872,FV3_00214,FV3_00214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011873,FV3_00215,FV3_00215,-,-,-,-,putative adenine methyltransferase,protein-coding,-,-,-,putative adenine methyltransferase,20200629,-
1131317,14011874,FV3_00216,FV3_00216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011875,FV3_00217,FV3_00217,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1131317,14011876,FV3_00218,FV3_00218,-,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20200629,-
1131317,14011877,FV3_00026,FV3_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011878,FV3_gt002,FV3_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1131317,14011879,FV3_gt003,FV3_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1131317,14011880,FV3_gt004,FV3_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1131317,14011881,FV3_gt005,FV3_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1131317,14011882,FV3_00068,FV3_00068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011883,FV3_00208,FV3_00208,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200629,-
1131317,14011884,FV3_00001,FV3_00001,-,-,-,-,RIIA protector from prophage-induced early lysis,protein-coding,-,-,-,RIIA protector from prophage-induced early lysis,20200629,-
1131317,14023568,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage vB_EcoM-FV3).,other,-,-,-,-,20200513,-
