#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
287,2827877,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus aeruginosus; Bacillus pyocyaneus; Bacterium aeruginosum; Bacterium pyocyaneum; Micrococcus pyocyaneus; Pseudomonas polycolor; Pseudomonas pyocyanea; probable synonym or variety: ""Pseudomonas polycolor"" Clara 1930.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
287,42591297,FIT60_RS01630,FIT60_RS01630,FIT60_05980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591302,PAT169_RS00310,PAT169_RS00310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591304,PAT169_RS00300,PAT169_RS00300,PAT169_p0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
287,42591305,PAT169_RS00295,PAT169_RS00295,PAT169_p0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591306,PAT169_RS00290,PAT169_RS00290,PAT169_p0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591310,PAT169_RS00270,PAT169_RS00270,PAT169_p0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42591314,PAT169_RS00025,PAT169_RS00025,PAT169_p0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591315,PAT169_RS00230,PAT169_RS00230,PAT169_p0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591316,PAT169_RS00225,PAT169_RS00225,PAT169_p0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591321,PAT169_RS00195,PAT169_RS00195,PAT169_p0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591323,PAT169_RS00075,PAT169_RS00075,PAT169_p0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591326,PAT169_RS00165,PAT169_RS00165,PAT169_p0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591332,PAT169_RS00115,PAT169_RS00115,PAT169_p0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591337,PAT169_RS00085,PAT169_RS00085,PAT169_p0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591338,PAT169_RS00070,PAT169_RS00070,PAT169_p0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591340,PAT169_RS00055,PAT169_RS00055,PAT169_p0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591341,PAT169_RS00050,PAT169_RS00050,PAT169_p0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591342,PAT169_RS00045,PAT169_RS00045,PAT169_p0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591343,PAT169_RS00040,PAT169_RS00040,PAT169_p0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591344,PAT169_RS00035,PAT169_RS00035,PAT169_p0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591345,PAT169_RS00030,PAT169_RS00030,PAT169_p0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591347,PAT169_RS00015,PAT169_RS00015,PAT169_p0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42591348,PAT169_RS00010,PAT169_RS00010,PAT169_p0002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591352,PAT169_RS00140,PAT169_RS00140,PAT169_p0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591354,PAT169_RS00245,PAT169_RS00245,PAT169_p0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591357,PAT169_RS00020,PAT169_RS00020,PAT169_p0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42591363,PAT23_RS00245,PAT23_RS00245,PAT23_p0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591366,PAT23_RS00085,PAT23_RS00085,PAT23_p0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591368,PAT23_RS00230,PAT23_RS00230,PAT23_p0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591372,PAT23_RS00025,PAT23_RS00025,PAT23_p0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591373,PAT23_RS00265,PAT23_RS00265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
287,42591376,PAT23_RS00015,PAT23_RS00015,PAT23_p0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42591377,PAT23_RS00115,PAT23_RS00115,PAT23_p0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591378,PAT23_RS00295,PAT23_RS00295,PAT23_p0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591380,PAT23_RS00300,PAT23_RS00300,PAT23_p0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591381,PAT23_RS00070,PAT23_RS00070,PAT23_p0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591383,PAT23_RS00305,PAT23_RS00305,PAT23_p0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
287,42591385,PAT23_RS00315,PAT23_RS00315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591387,PAT23_RS00260,PAT23_RS00260,PAT23_p0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
287,42591389,PAT23_RS00020,PAT23_RS00020,PAT23_p0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42591390,PAT23_RS00275,PAT23_RS00275,PAT23_p0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42591391,PAT23_RS00195,PAT23_RS00195,PAT23_p0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591393,PAT23_RS00050,PAT23_RS00050,PAT23_p0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591401,PAT23_RS00035,PAT23_RS00035,PAT23_p0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591402,PAT23_RS00045,PAT23_RS00045,PAT23_p0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591406,PAT23_RS00010,PAT23_RS00010,PAT23_p0002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591408,PAT23_RS00055,PAT23_RS00055,PAT23_p0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591411,PAT23_RS00030,PAT23_RS00030,PAT23_p0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591412,PAT23_RS00140,PAT23_RS00140,PAT23_p0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591413,PAT23_RS00040,PAT23_RS00040,PAT23_p0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591415,PAT23_RS00225,PAT23_RS00225,PAT23_p0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591417,PAT23_RS00165,PAT23_RS00165,PAT23_p0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591424,PAT23_RS00075,PAT23_RS00075,PAT23_p0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591428,FQ758_RS00165,FQ758_RS00165,FQ758_00165,-,-,-,-,tRNA,-,-,-,-,20191203,-
287,42591437,FQ758_RS00735,FQ758_RS00735,FQ758_00735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591469,FQ758_RS00160,FQ758_RS00160,FQ758_00160,-,-,-,-,tRNA,-,-,-,-,20191203,-
287,42591474,FQ758_RS00780,FQ758_RS00780,FQ758_00780,-,-,-,-,tRNA,-,-,-,-,20191203,-
287,42591475,FQ758_RS00820,FQ758_RS00820,FQ758_00820,-,-,-,-,tRNA,-,-,-,-,20191203,-
287,42591494,FQ758_RS00825,FQ758_RS00825,FQ758_00825,-,-,-,-,tRNA,-,-,-,-,20191203,-
287,42591555,FQ758_RS00815,FQ758_RS00815,FQ758_00815,-,-,-,-,tRNA,-,-,-,-,20191203,-
287,42591587,FQ758_RS00830,FQ758_RS00830,FQ758_00830,-,-,-,-,tRNA,-,-,-,-,20191203,-
287,42591600,IHMA87_RS31530,IHMA87_RS31530,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591601,IHMA87_RS31790,IHMA87_RS31790,IHMA87_06224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591603,IHMA87_RS31580,IHMA87_RS31580,IHMA87_06182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591604,IHMA87_RS31630,IHMA87_RS31630,IHMA87_06190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591605,IHMA87_RS31525,IHMA87_RS31525,IHMA87_06172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591610,IHMA87_RS31600,IHMA87_RS31600,IHMA87_06186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591611,IHMA87_RS31645,IHMA87_RS31645,IHMA87_06195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591612,IHMA87_RS31440,IHMA87_RS31440,IHMA87_06156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591613,IHMA87_RS32250,IHMA87_RS32250,IHMA87_06303,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591614,IHMA87_RS31950,IHMA87_RS31950,IHMA87_06252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591615,IHMA87_RS32330,IHMA87_RS32330,IHMA87_06316,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591616,IHMA87_RS31300,IHMA87_RS31300,IHMA87_06128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591617,IHMA87_RS31315,IHMA87_RS31315,IHMA87_06131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591619,IHMA87_RS32145,IHMA87_RS32145,IHMA87_06284,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591620,IHMA87_RS32305,IHMA87_RS32305,IHMA87_06311,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591622,IHMA87_RS31365,IHMA87_RS31365,IHMA87_06141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591624,IHMA87_RS31515,IHMA87_RS31515,IHMA87_06170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591625,IHMA87_RS31480,IHMA87_RS31480,IHMA87_06164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591626,IHMA87_RS32220,IHMA87_RS32220,IHMA87_06297,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591627,IHMA87_RS31255,IHMA87_RS31255,IHMA87_06119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591629,IHMA87_RS31410,IHMA87_RS31410,IHMA87_06150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591632,IHMA87_RS31890,IHMA87_RS31890,IHMA87_06242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591637,IHMA87_RS32300,IHMA87_RS32300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591640,IHMA87_RS31345,IHMA87_RS31345,IHMA87_06137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591641,IHMA87_RS32280,IHMA87_RS32280,IHMA87_06308,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591644,IHMA87_RS31945,IHMA87_RS31945,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
287,42591647,IHMA87_RS31545,IHMA87_RS31545,IHMA87_06174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591648,IHMA87_RS31635,IHMA87_RS31635,IHMA87_06191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591650,IHMA87_RS31735,IHMA87_RS31735,IHMA87_06214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
287,42591651,IHMA87_RS31290,IHMA87_RS31290,IHMA87_06126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591654,IHMA87_RS31655,IHMA87_RS31655,IHMA87_06197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591655,IHMA87_RS31765,IHMA87_RS31765,IHMA87_06219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591657,IHMA87_RS31380,IHMA87_RS31380,IHMA87_06144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
287,42591658,IHMA87_RS31920,IHMA87_RS31920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
287,42591661,IHMA87_RS31750,IHMA87_RS31750,IHMA87_06217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591663,IHMA87_RS31505,IHMA87_RS31505,IHMA87_06168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591664,IHMA87_RS31465,IHMA87_RS31465,IHMA87_06161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591665,IHMA87_RS32035,IHMA87_RS32035,IHMA87_06267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591666,IHMA87_RS31405,IHMA87_RS31405,IHMA87_06149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591667,IHMA87_RS31730,IHMA87_RS31730,IHMA87_06213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591668,IHMA87_RS31725,IHMA87_RS31725,IHMA87_06212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591672,IHMA87_RS31675,IHMA87_RS31675,IHMA87_06202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591673,IHMA87_RS31660,IHMA87_RS31660,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591675,IHMA87_RS31295,IHMA87_RS31295,IHMA87_06127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591677,IHMA87_RS31585,IHMA87_RS31585,IHMA87_06183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
287,42591678,IHMA87_RS32315,IHMA87_RS32315,IHMA87_06313,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591679,IHMA87_RS31690,IHMA87_RS31690,IHMA87_06205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591680,IHMA87_RS31305,IHMA87_RS31305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591681,IHMA87_RS31535,IHMA87_RS31535,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591683,IHMA87_RS31375,IHMA87_RS31375,IHMA87_06143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591685,IHMA87_RS31560,IHMA87_RS31560,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591686,IHMA87_RS31335,IHMA87_RS31335,IHMA87_06135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591687,IHMA87_RS31360,IHMA87_RS31360,IHMA87_06140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591689,IHMA87_RS31875,IHMA87_RS31875,IHMA87_06239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591690,IHMA87_RS31670,IHMA87_RS31670,IHMA87_06201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591691,IHMA87_RS31490,IHMA87_RS31490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591692,IHMA87_RS31265,IHMA87_RS31265,IHMA87_06121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591693,IHMA87_RS31685,IHMA87_RS31685,IHMA87_06204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591694,IHMA87_RS31700,IHMA87_RS31700,IHMA87_06207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591696,IHMA87_RS31425,IHMA87_RS31425,IHMA87_06153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591698,IHMA87_RS32030,IHMA87_RS32030,IHMA87_06266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591700,IHMA87_RS31895,IHMA87_RS31895,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591703,IHMA87_RS31575,IHMA87_RS31575,IHMA87_06181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591707,IHMA87_RS32210,IHMA87_RS32210,IHMA87_06295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591709,IHMA87_RS31355,IHMA87_RS31355,IHMA87_06139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591710,IHMA87_RS31990,IHMA87_RS31990,IHMA87_06259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591711,IHMA87_RS31615,IHMA87_RS31615,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591713,IHMA87_RS31495,IHMA87_RS31495,IHMA87_06166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
287,42591714,IHMA87_RS31780,IHMA87_RS31780,IHMA87_06222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591715,IHMA87_RS31640,IHMA87_RS31640,IHMA87_06194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591718,IHMA87_RS31270,IHMA87_RS31270,IHMA87_06122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591719,IHMA87_RS31925,IHMA87_RS31925,IHMA87_06248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591720,IHMA87_RS31595,IHMA87_RS31595,IHMA87_06185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591721,IHMA87_RS32005,IHMA87_RS32005,IHMA87_06262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591722,IHMA87_RS31970,IHMA87_RS31970,IHMA87_06256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591723,IHMA87_RS32320,IHMA87_RS32320,IHMA87_06314,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591726,IHMA87_RS31260,IHMA87_RS31260,IHMA87_06120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591729,IHMA87_RS32255,IHMA87_RS32255,IHMA87_06304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591730,IHMA87_RS31350,IHMA87_RS31350,IHMA87_06138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591731,IHMA87_RS31885,IHMA87_RS31885,IHMA87_06241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591732,IHMA87_RS32010,IHMA87_RS32010,IHMA87_06263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591733,IHMA87_RS32260,IHMA87_RS32260,IHMA87_06305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
287,42591734,IHMA87_RS31955,IHMA87_RS31955,IHMA87_06253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591735,IHMA87_RS31910,IHMA87_RS31910,IHMA87_06246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591738,IHMA87_RS31665,IHMA87_RS31665,IHMA87_06200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591739,IHMA87_RS32190,IHMA87_RS32190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591740,IHMA87_RS31620,IHMA87_RS31620,IHMA87_06188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42591742,IHMA87_RS32015,IHMA87_RS32015,IHMA87_06264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591743,IHMA87_RS31610,IHMA87_RS31610,IHMA87_06187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591745,IHMA87_RS31420,IHMA87_RS31420,IHMA87_06152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
287,42591746,IHMA87_RS31320,IHMA87_RS31320,IHMA87_06132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591748,IHMA87_RS31520,IHMA87_RS31520,IHMA87_06171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591750,IHMA87_RS31285,IHMA87_RS31285,IHMA87_06125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591751,IHMA87_RS32180,IHMA87_RS32180,IHMA87_06291,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591753,IHMA87_RS32165,IHMA87_RS32165,IHMA87_06287,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591754,IHMA87_RS31980,IHMA87_RS31980,IHMA87_06257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591755,IHMA87_RS32290,IHMA87_RS32290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591756,IHMA87_RS31775,IHMA87_RS31775,IHMA87_06221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591757,IHMA87_RS31760,IHMA87_RS31760,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591759,IHMA87_RS32340,IHMA87_RS32340,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591760,IHMA87_RS31395,IHMA87_RS31395,IHMA87_06147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591761,IHMA87_RS32200,IHMA87_RS32200,IHMA87_06294,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591764,IHMA87_RS31430,IHMA87_RS31430,IHMA87_06154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591765,IHMA87_RS31965,IHMA87_RS31965,IHMA87_06255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591769,IHMA87_RS32245,IHMA87_RS32245,IHMA87_06302,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591770,IHMA87_RS31695,IHMA87_RS31695,IHMA87_06206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591771,IHMA87_RS31385,IHMA87_RS31385,IHMA87_06145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591772,IHMA87_RS31485,IHMA87_RS31485,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591774,IHMA87_RS31250,IHMA87_RS31250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
287,42591775,IHMA87_RS31570,IHMA87_RS31570,IHMA87_06180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591776,IHMA87_RS32175,IHMA87_RS32175,IHMA87_06289,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591777,IHMA87_RS32045,IHMA87_RS32045,IHMA87_06269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591778,IHMA87_RS31310,IHMA87_RS31310,IHMA87_06130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591779,IHMA87_RS31445,IHMA87_RS31445,IHMA87_06157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591780,IHMA87_RS31625,IHMA87_RS31625,IHMA87_06189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591781,IHMA87_RS32090,IHMA87_RS32090,-,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20200926,-
287,42591783,IHMA87_RS32075,IHMA87_RS32075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591784,IHMA87_RS32275,IHMA87_RS32275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591785,IHMA87_RS31975,IHMA87_RS31975,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591787,IHMA87_RS32270,IHMA87_RS32270,IHMA87_06307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591788,IHMA87_RS32135,IHMA87_RS32135,IHMA87_06283,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
