#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419752,55811056,HYP72_gp002,HYP72_gp002,SeSz1_2,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2419752,55811241,HYP72_gp187,HYP72_gp187,SeSz1_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811242,HYP72_gp188,HYP72_gp188,SeSz1_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811243,HYP72_gp189,HYP72_gp189,SeSz1_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811244,HYP72_gp190,HYP72_gp190,SeSz1_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811245,HYP72_gp191,HYP72_gp191,SeSz1_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811246,HYP72_gp192,HYP72_gp192,SeSz1_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811247,HYP72_gp193,HYP72_gp193,SeSz1_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811248,HYP72_gp194,HYP72_gp194,SeSz1_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811249,HYP72_gp195,HYP72_gp195,SeSz1_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811250,HYP72_gp196,HYP72_gp196,SeSz1_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811251,HYP72_gp197,HYP72_gp197,SeSz1_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811252,HYP72_gp198,HYP72_gp198,SeSz1_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811253,HYP72_gp199,HYP72_gp199,SeSz1_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811254,HYP72_gp200,HYP72_gp200,SeSz1_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811255,HYP72_gp201,HYP72_gp201,SeSz1_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811256,HYP72_gp202,HYP72_gp202,SeSz1_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811257,HYP72_gp203,HYP72_gp203,SeSz1_203,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55811258,HYP72_gp001,HYP72_gp001,SeSz1_1,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55863545,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200909,-
