#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034111,40233848,191,FGG27_gp229,LITTLEE_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233849,192,FGG27_gp228,LITTLEE_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233850,193,FGG27_gp227,LITTLEE_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233851,194,FGG27_gp226,LITTLEE_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233852,195,FGG27_gp225,LITTLEE_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233853,196,FGG27_gp224,LITTLEE_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233854,197,FGG27_gp223,LITTLEE_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233855,198,FGG27_gp222,LITTLEE_198,-,-,-,FtsK,protein-coding,-,-,-,FtsK,20200909,-
1034111,40233856,199,FGG27_gp221,LITTLEE_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233857,200,FGG27_gp220,LITTLEE_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233858,201,FGG27_gp219,LITTLEE_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233859,202,FGG27_gp218,LITTLEE_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233860,203,FGG27_gp217,LITTLEE_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233861,204,FGG27_gp216,LITTLEE_204,-,-,-,Ku,protein-coding,-,-,-,Ku,20200909,-
1034111,40233862,205,FGG27_gp215,LITTLEE_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233863,206,FGG27_gp214,LITTLEE_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233864,207,FGG27_gp213,LITTLEE_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233865,208,FGG27_gp212,LITTLEE_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233866,209,FGG27_gp211,LITTLEE_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233867,210,FGG27_gp210,LITTLEE_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233868,211,FGG27_gp209,LITTLEE_211,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200909,-
1034111,40233869,212,FGG27_gp208,LITTLEE_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233870,213,FGG27_gp207,LITTLEE_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233871,214,FGG27_gp206,LITTLEE_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233872,215,FGG27_gp205,LITTLEE_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233873,216,FGG27_gp204,LITTLEE_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233874,217,FGG27_gp203,LITTLEE_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233875,218,FGG27_gp202,LITTLEE_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233876,219,FGG27_gp201,LITTLEE_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233877,220,FGG27_gp200,LITTLEE_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233878,221,FGG27_gp199,LITTLEE_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233879,222,FGG27_gp198,LITTLEE_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233880,223,FGG27_gp197,LITTLEE_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233881,224,FGG27_gp196,LITTLEE_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233882,225,FGG27_gp195,LITTLEE_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233883,226,FGG27_gp194,LITTLEE_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233884,227,FGG27_gp193,LITTLEE_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233885,228,FGG27_gp192,LITTLEE_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233886,229,FGG27_gp191,LITTLEE_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233887,230,FGG27_gp190,LITTLEE_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233888,1,FGG27_gp001,LITTLEE_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20200909,-
1034111,40340347,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage LittleE; Mycobacterium phage LittleE).,other,-,-,-,-,20200513,-
