#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887641,29080353,89,BIZ77_gp090,SEA_BANTAM_89,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200910,-
1887641,29080354,90,BIZ77_gp089,SEA_BANTAM_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080355,91,BIZ77_gp088,SEA_BANTAM_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080356,92,BIZ77_gp087,SEA_BANTAM_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080357,93,BIZ77_gp086,SEA_BANTAM_93,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200910,-
1887641,29080358,94,BIZ77_gp085,SEA_BANTAM_94,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200910,-
1887641,29080359,95,BIZ77_gp084,SEA_BANTAM_95,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
1887641,29080360,96,BIZ77_gp083,SEA_BANTAM_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080361,97,BIZ77_gp082,SEA_BANTAM_97,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200910,-
1887641,29080362,98,BIZ77_gp081,SEA_BANTAM_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080363,99,BIZ77_gp080,SEA_BANTAM_99,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200910,-
1887641,29080364,100,BIZ77_gp079,SEA_BANTAM_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
