#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
57477,13828923,D307_gp267,D307_gp267,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200908,-
57477,13829137,D307_gp060,D307_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829138,D307_gp059,D307_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829139,D307_gp058,D307_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829140,D307_gp057,D307_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829141,D307_gp056,D307_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829142,D307_gp055,D307_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829143,D307_gp054,D307_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829144,D307_gp053,D307_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829145,D307_gp052,D307_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829146,D307_gp7,D307_gp7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829147,D307_gp050,D307_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829148,D307_gp049,D307_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829149,D307_gp048,D307_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829150,D307_gp047,D307_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829151,D307_gp046,D307_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829152,D307_gp045,D307_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829153,D307_gp044,D307_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829154,D307_gp043,D307_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829155,D307_gp042,D307_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829156,D307_gp041,D307_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829157,D307_gp040,D307_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829158,D307_gp039,D307_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829159,D307_gp038,D307_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829160,D307_gp037,D307_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829161,D307_gp036,D307_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829162,D307_gp035,D307_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829163,D307_gp034,D307_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829164,D307_gp033,D307_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829165,D307_gp032,D307_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829166,D307_gp031,D307_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829167,D307_gp030,D307_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829168,D307_gp029,D307_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829169,D307_gp028,D307_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829170,D307_gp027,D307_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829171,D307_gp026,D307_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829172,D307_gp025,D307_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829173,D307_gp024,D307_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829174,D307_gp023,D307_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829175,D307_gp022,D307_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829176,D307_gp021,D307_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829177,D307_gp020,D307_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829178,D307_gp019,D307_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829179,D307_gp018,D307_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829180,D307_gp017,D307_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829181,D307_gp016,D307_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829182,D307_gp015,D307_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829183,D307_gp014,D307_gp014,-,-,-,-,kinase,protein-coding,-,-,-,kinase,20201026,-
57477,13829184,D307_gp013,D307_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829185,D307_gp012,D307_gp012,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200908,-
57477,13829186,D307_gp011,D307_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829187,D307_gp010,D307_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829188,D307_gp009,D307_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829189,D307_gp008,D307_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829190,D307_gp007,D307_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829191,D307_gp006,D307_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829192,D307_gp005,D307_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829193,D307_gp004,D307_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829194,D307_gp003,D307_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829195,D307_gp002,D307_gp002,-,-,-,-,Endolysin,protein-coding,-,-,-,Endolysin,20201003,-
57477,13829196,D307_gp001,D307_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13839451,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus cereus bacteriophage Bastille; Bacteriophage Bastille).,other,-,-,-,-,20200513,-
57477,14580859,D307_gp8,D307_gp8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,14580860,D307_gp6,D307_gp6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,14580861,D307_gp5,D307_gp5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,14580862,D307_gp4,D307_gp4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,14580863,D307_gp2,D307_gp2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,14580864,D307_gp3,D307_gp3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
